"","Family","Loc","GID","GM_Trial","BLUE_Yield_corrected","BLUE_Moisture"
"3171","20009472-3472667","VANDALA_1","GID100020043580",37,4765.19041816693,10.3029091110431
"3175","20009472-10020419721","VANDALA_1","GID100020043591",41,4396.50820681742,10.5890393567922
"3176","20009472-10020419721","VANDALA_1","GID100020043594",40,4603.25853340025,10.4861477118593
"3179","20009479-3473863","VANDALA_1","GID100020043612",39,4778.49151651741,10.5467165228948
"3181","20009416-2984004","VANDALA_1","GID100020043624",38,5021.03829747677,10.7704599435859
"3182","20001789-2984004","VANDALA_1","GID100020043635",39,3907.62324481712,10.6540767197643
"3185","20009419-2984004","VANDALA_1","GID100020043639",40,3566.79774015398,10.3502091051162
"3187","20009419-2984004","VANDALA_1","GID100020043641",38,5089.71017218985,10.1909774943218
"3188","20009472-3472667","VANDALA_1","GID100020043643",40,5450.93581701092,10.4378245681496
"3189","20009497-2984004","VANDALA_1","GID100020043644",39,3852.09146373942,10.7900920637304
"3195","20009419-2984004","VANDALA_1","GID100020043657",41,3744.97223200648,10.571691119091
"3196","20001789-2984004","VANDALA_1","GID100020043999",40,3509.60813525675,10.7032668847383
"3199","20001789-2984004","VANDALA_1","GID100020044004",43,4314.58682847871,10.3426436438128
"3200","20009497-2984004","VANDALA_1","GID100020044005",41,4283.08015405465,10.4448350296787
"3203","20001789-2984004","VANDALA_1","GID100020044011",43,4246.69839880715,10.6594042486606
"3206","20009489-2984004","VANDALA_1","GID100020044020",40,3545.13340674567,10.2786393870524
"3209","20001789-2984004","VANDALA_1","GID100020044034",43,4942.00529847433,10.5471822750202
"3210","20009419-2984004","VANDALA_1","GID100020044038",39,3860.42187013981,10.5273210186662
"3211","20009419-2984004","VANDALA_1","GID100020044048",39,3377.09377159624,10.7714493949846
"3212","20009497-2984004","VANDALA_1","GID100020044050",38,3543.41628032459,10.4718139931187
"3213","20009416-2984004","VANDALA_1","GID100020044051",43,4231.97512646958,10.7974361712939
"3215","20009472-10020419721","VANDALA_1","GID100020044064",41,4698.24026695374,10.692761713369
"3222","20009419-2984004","VANDALA_1","GID100020044088",43,4035.71272415036,10.3672590122431
"3224","20009419-2984004","VANDALA_1","GID100020044092",36,3133.7412395939,10.402243490927
"3226","20009500-10020419656","VANDALA_1","GID100020044106",40,4154.98935533174,10.4452731249424
"3227","20009472-10020419721","VANDALA_1","GID100020044107",36,3332.14386986421,10.1118233794785
"3228","20009419-2984004","VANDALA_1","GID100020044113",39,3817.10242710144,10.0225614123959
"3230","20001789-2984004","VANDALA_1","GID100020044115",40,5005.88853106664,10.5820781256179
"3231","20009419-2984004","VANDALA_1","GID100020044116",40,4054.12595907629,10.5762244490822
"3236","20009489-2984004","VANDALA_1","GID100020044141",38,4929.68944552678,10.123427333485
"3243","20009490-2984004","VANDALA_1","GID100020044159",40,3898.78113590491,10.4194667477773
"3245","20009479-3473863","VANDALA_1","GID100020044164",42,3205.787027926,10.6315645476124
"3247","20009489-2984004","VANDALA_1","GID100020044167",39,3776.72150261867,10.4371962352564
