Genotype,blups,deregressed.blups,Adj.Grain.Yield
AYT-S-0062,8.71718034942551e-13,-5.41E-08,5143.675678
AYT-S-0063,-194.9479222,-312.9552572,4830.720421
AYT-S-0064,9.34410263923328e-13,-5.80E-08,5143.675678
AYT-S-0065,9.09755950252469e-13,-5.65E-08,5143.675678
AYT-S-0066,40.21272401,62.15616543,5205.831844
AYT-S-0067,8.97929891539987e-13,-5.57E-08,5143.675678
AYT-S-0068,552.5509663,917.4201082,6061.095787
AYT-S-0069,184.8930114,279.0158568,5422.691535
AYT-S-0070,1.97227007056945e-13,-1.22E-08,5143.675679
AYT-S-0071,304.6074444,488.9878317,5632.66351
AYT-S-0072,9.53128063730207e-13,-5.92E-08,5143.675678
AYT-S-0073,9.52135259636286e-14,-5.91E-09,5143.675679
AYT-S-0074,4.47407040292271e-13,-2.78E-08,5143.675678
AYT-S-0075,-124.4638876,-196.2342892,4947.441389
AYT-S-0076,-8.94E-13,5.55197072884184e-08,5143.675679
AYT-S-0077,1.38395449918674e-14,-8.59E-10,5143.675679
AYT-S-0078,-2.27E-13,1.41003078729332e-08,5143.675679
AYT-S-0079,-9.43E-13,5.85436847564606e-08,5143.675679
AYT-S-0080,-3.88E-14,2.40615281033159e-09,5143.675679
AYT-S-0081,-7.59E-13,4.71297344899276e-08,5143.675679
AYT-S-0082,1.26494678698493e-13,-7.85E-09,5143.675679
AYT-S-0083,-298.3561147,-467.0984788,4676.5772
AYT-S-0084,4.18301145119785e-14,-2.60E-09,5143.675679
AYT-S-0085,9.88539629940893e-13,-6.14E-08,5143.675678
AYT-S-0086,-1.76E-14,1.0903348171224e-09,5143.675679
AYT-S-0087,76.45717798,121.743303,5265.418982
AYT-S-0088,158.271676,256.4022476,5400.077926
AYT-S-0089,8.42533450987765e-13,-5.23E-08,5143.675678
AYT-S-0090,-7.12E-14,4.42309252406857e-09,5143.675679
AYT-S-0091,247.5706003,401.0453244,5544.721003
AYT-S-0092,-187.8859146,-305.1781933,4838.497485
AYT-S-0093,50.62383913,85.75772917,5229.433408
AYT-S-0094,147.0236232,243.7747934,5387.450472
AYT-S-0095,4.1414558185516e-13,-2.57E-08,5143.675678
AYT-S-0096,-455.8432923,-739.7743663,4403.901312
AYT-S-0097,-157.4204293,-246.5839993,4897.091679
AYT-S-0098,-243.9884099,-395.2306053,4748.445073
AYT-S-0099,-392.8181863,-635.6242628,4508.051416
AYT-S-0100,-262.3820241,-410.9396634,4732.736015
AYT-S-0101,-347.2368687,-543.8514343,4599.824244
AYT-S-0103,63.00872012,101.6223351,5245.298014
AYT-S-0104,6.97325756371169e-15,-4.33E-10,5143.675679
AYT-S-0105,-514.8793023,-777.0323358,4366.643343
AYT-S-0106,8.98526256380328e-13,-5.58E-08,5143.675678
AYT-S-0107,169.0301701,266.4209499,5410.096628
AYT-S-0108,28.28909097,46.99572901,5190.671408
AYT-S-0109,4.78128557880398e-13,-2.97E-08,5143.675678
AYT-S-0110,1.38892495700419e-12,-8.62E-08,5143.675678
AYT-S-0111,-4.41E-13,2.73590571676545e-08,5143.675679
AYT-S-0112,-602.2590877,-908.9711136,4234.704565
AYT-S-0113,-1.36E-14,8.41542888573519e-10,5143.675679
AYT-S-0114,-95.50496979,-154.5914772,4989.084201
AYT-S-0115,184.4365857,288.8626526,5432.538331
AYT-S-0116,68.28017337,106.9428475,5250.618526
AYT-S-0117,-111.0177417,-179.6437292,4964.031949
AYT-S-0118,-52.93607268,-86.29427739,5057.381401
AYT-S-0119,-159.9195247,-259.1097579,4884.565921
AYT-S-0120,-297.6670649,-494.5091607,4649.166518
AYT-S-0121,-304.7275766,-459.8718719,4683.803807
AYT-S-0122,-399.2404692,-603.3708679,4540.304811
AYT-S-0123,-253.9504295,-397.7526141,4745.923064
AYT-S-0124,19.1548929,28.90737934,5172.583058
AYT-S-0125,12.23635586,19.01218917,5162.687868
AYT-S-0126,410.9972769,665.0312901,5808.706969
AYT-S-0127,258.8755879,418.8904457,5562.566124
AYT-S-0128,-94.55634599,-142.7194687,5000.95621
AYT-S-0129,87.14093609,136.4799105,5280.155589
AYT-S-0130,155.075341,234.0304999,5377.706178
AYT-S-0131,878.1505638,1421.358009,6565.033688
AYT-S-0132,739.9571145,1197.370399,6341.046077
AYT-S-0133,145.8994191,236.4291146,5380.104793
AYT-S-0134,294.3061143,493.5467418,5637.22242
AYT-S-0135,-66.40188196,-107.8553467,5035.820332
AYT-S-0136,-11.42763425,-17.89596095,5125.779718
AYT-S-0137,-146.7297871,-243.7612656,4899.914413
AYT-S-0138,-52.73024595,-85.34522923,5058.330449
AYT-S-0139,336.8115449,527.5278528,5671.203531
AYT-S-0140,497.1197953,797.9659194,5941.641598
AYT-S-0141,296.0810663,479.6106499,5623.286328
AYT-S-0142,-1.458122299,-2.286183019,5141.389496
AYT-S-0143,32.98523075,53.43120796,5197.106886
AYT-S-0144,845.7683653,1368.547915,6512.223593
AYT-S-0145,120.3216433,181.5905422,5325.266221
AYT-S-0146,284.3481586,460.6324054,5604.308084
AYT-S-0147,291.216514,471.760818,5615.436497
AYT-S-0148,192.1712333,309.2473284,5452.923007
AYT-S-0149,-186.7678355,-297.4353152,4846.240363
AYT-S-0150,348.3718302,559.1935493,5702.869228
AYT-S-0151,-325.230706,-526.3311923,4617.344486
AYT-S-0152,-512.5068662,-822.6270641,4321.048614
AYT-S-0153,-64.16897053,-103.8329235,5039.842755
AYT-S-0154,-440.5439325,-664.8591506,4478.816528
AYT-S-0155,401.5622892,609.4735404,5753.149219
AYT-S-0156,-720.6533442,-1166.096916,3977.578762
AYT-S-0157,261.9171198,395.3260353,5539.001714
AYT-S-0158,603.4264487,998.4503991,6142.126078
AYT-S-0159,-203.5016605,-329.3703224,4814.305356
AYT-S-0160,103.5942185,166.2828233,5309.958502
AYT-S-0161,509.1000748,817.156126,5960.831805
AYT-S-0162,-66.05700331,-107.0037096,5036.671969
AYT-S-0163,-17.50500992,-28.35556938,5115.320109
AYT-S-0164,-484.2169028,-730.9717236,4412.703955
AYT-S-0165,-77.08817312,-129.2079555,5014.467723
AYT-S-0166,-288.1262108,-466.2128571,4677.462821
AYT-S-0167,313.6440006,491.2880717,5634.96375
AYT-S-0168,575.4069153,924.5510974,6068.226776
AYT-S-0169,-104.4081959,-157.5314841,4986.144194
AYT-S-0170,358.8434995,541.5395867,5685.215265
AYT-S-0171,1.908309034,3.087823603,5146.763502
AYT-S-0172,300.915296,454.136019,5597.811698
AYT-S-0173,233.3025473,390.7919462,5534.467625
AYT-S-0174,-101.7351596,-170.659272,4973.016407
AYT-S-0175,72.701687,109.7121789,5253.387857
AYT-S-0176,-0.774434271,-1.168721717,5142.506957
AYT-S-0177,-102.0368119,-153.9867491,4989.688929
AYT-S-0178,54.29237244,88.01117881,5231.686857
AYT-S-0179,206.6757371,332.6242514,5476.29993
AYT-S-0180,39.79631576,64.4643222,5208.140001
AYT-S-0181,386.8481961,621.0436301,5764.719309
AYT-S-0182,-264.5655135,-429.167229,4714.508449
AYT-S-0183,30.569724,49.46482144,5193.1405
AYT-S-0184,297.3374785,478.4981807,5622.173859
AYT-S-0185,67.94898325,106.423893,5250.099571
AYT-S-0186,391.3698506,626.2932861,5769.968965
AYT-S-0187,-85.7801628,-138.8112902,5004.864388
AYT-S-0188,-115.6314376,-181.1092826,4962.566396
AYT-S-0189,-123.9719172,-187.0992628,4956.576416
AYT-S-0190,-184.6996781,-280.3334564,4863.342222
AYT-S-0191,582.7282065,935.3550538,6079.030732
AYT-S-0192,341.619784,553.2209343,5696.896613
AYT-S-0193,-149.7534543,-240.4380243,4903.237654
AYT-S-0194,77.60557273,125.7418697,5269.417548
AYT-S-0195,-151.1092451,-242.5413488,4901.13433
AYT-S-0196,610.1944069,955.8382601,6099.513939
AYT-S-0197,200.8879152,333.6310161,5477.306695
AYT-S-0198,358.7352215,582.007235,5725.682914
AYT-S-0199,544.9826178,881.9715429,6025.647221
AYT-S-0200,-235.1186437,-380.4419147,4763.233764
