"","Line","Env","PH","FLW","Lg","Exs","CulmL","PnN","PedL","PnL","Flg.LL","Flg.LW","Flg.LA","SPn","FGP","GrL","GrW","LBR","X1000GW","YPP","YLD"
"237","A1296","2012DSRYT",103.8,79.3,1.1,1.2,"82.4",12.8,5.1,21.8,28.9,1,20.7,76.7,982.8,9.6,2.1,4.6,21.7,22.4,4779
"238","A1337","2012DSRYT",106,85.9,1.1,1.2,"80.8",12.7,2.1,25.2,27.5,1.2,22.4,80.4,1013.7,9.8,2.2,4.6,24.4,25.2,5867
"239","A1338","2012DSRYT",108.5,82.6,1.1,1.3,"81.8",13.7,1.9,26.5,29,1.1,22.4,86.7,1202.3,10.1,2.2,4.7,24.8,29.8,6619
"240","A1339","2012DSRYT",111.3,86.4,1.1,1.2,"84.4",12.7,1.6,26.5,30.9,1.2,24.7,75.5,965.5,10.3,2.4,4.2,28.9,26.3,5947
"241","A1297","2012DSRYT",99.4,75,1.1,1.2,"75.7",12.3,3,24.2,28,1,20.3,78.7,947.9,9.4,2.3,4.1,24.3,23.2,5316
"242","A1340","2012DSRYT",115.6,83.5,2.2,1.2,"89.1",12.5,3.1,25.9,34.3,1.2,29.6,66.8,856.1,10.8,2.3,4.7,26.4,21.9,3243
"243","A1341","2012DSRYT",113.3,85.9,3.2,1.2,"89.4",13.1,4.1,23.4,31.5,1,22,62.9,859.2,9.9,2.4,4.2,25.6,21.6,4269
"244","A1342","2012DSRYT",110,82.1,1.1,1.2,"94.7",12.5,3.6,26.3,34.2,1.2,26.1,78.9,970.6,10.3,2.2,4.9,24.9,24.1,4924
"245","A1343","2012DSRYT",107.6,86.9,1.1,1.3,"83.9",12.7,4.2,23.7,27.1,1,18.8,68.5,894.2,10.2,2.1,5,24.1,21.8,4579
"247","A1335","2012DSRYT",110.9,80.7,1.1,1.2,"86.2",12.5,3.8,24.5,27.6,1.2,21.9,81.6,1001.9,9.6,2.4,4,24.4,24.4,5756
"248","A1336","2012DSRYT",107.3,82.6,1.1,1.2,"83.7",11.9,5.2,23.6,27.1,1.1,19.9,77.7,904.6,9.7,2.4,4,24.9,22.1,6312
"249","B1162","2012DSRYT",117.7,89.7,1.1,1.2,"92",13.2,3.7,25,31.6,1.3,26.3,75.2,1011.9,10.1,2.3,4.3,26.5,26,3595
"250","B1030","2012DSRYT",124.9,77.4,1.1,1.2,"99.7",12.6,3.1,24,31.3,1.4,28.4,95.9,1163.6,9.4,2.3,4,23.2,28.4,5265
"251","B1171","2012DSRYT",115.8,85,1.1,1.2,"90.6",12.1,3.4,24.6,31.7,1.1,24.1,75.3,899.9,9.9,2.4,4.1,26.4,23.3,4175
"252","B1237","2012DSRYT",112.4,84.5,1.1,1.2,"86.6",12.2,2.6,25.3,33.3,1.1,25,79,942.7,10.2,2.3,4.5,24,23.4,4347
"253","B1091","2012DSRYT",104.1,83.5,1.1,1.2,"81.7",13.3,2.3,22.7,25.9,1.1,19.5,79.6,1068,9.9,2.3,4.3,26,27.3,5125
"254","M1378","2012DSRYT",109.9,90.7,1.1,1.2,"89.1",11.8,2.6,20.7,25.7,1.1,19.2,60.4,747.8,9.1,2.7,3.3,24.5,19.7,3200
"256","B1167","2012DSRYT",114.2,81.6,1.1,1.2,"90.1",11.8,2.9,23.7,31.2,1.3,25.6,92.3,1013.7,9.8,2.3,4.2,24.5,25.3,6050
"258","B1168","2012DSRYT",105.8,87.4,1.1,1.2,"83.5",12.6,5,22.4,27.9,1.1,21.4,75.8,960.8,9.6,2.3,4.1,23.3,23.5,3907
"259","B1169","2012DSRYT",109.3,80.2,1.1,1.2,"86",12.7,2.5,23.2,28.5,1.2,22.7,70.4,909.7,9.9,2.3,4.4,26.4,23,3575
"260","B1170","2012DSRYT",108.7,87.4,1.1,1.2,"85.1",11.7,2.6,23.5,31.3,1.3,26.4,68.3,807.7,9.9,2.4,4.2,26.4,20.1,3613
"261","B1088","2012DSRYT",104.7,80.7,1.1,1.3,"82.2",12.4,2.7,22.7,27.3,1.2,21.6,78,947.5,9.9,2.3,4.4,23.1,23.1,5051
"262","B1236","2012DSRYT",107.4,87.4,1.1,1.2,"84.6",12.2,3.4,22.8,29.2,1.2,22.7,82.3,973.5,9.8,2.3,4.3,23,22.9,4979
"263","B1093","2012DSRYT",102.8,81.6,1.1,1.2,"79.4",12.3,2.2,23.6,29.9,1.2,23.5,70.6,878.4,9.7,2.3,4.2,23.7,21.8,5114
"264","B1172","2012DSRYT",116,88.3,1.1,1.2,"90.6",12.3,2.3,24.8,29.4,1.2,23.6,77.4,941.9,9.7,2.3,4.3,27,24.3,3474
"265","B1094","2012DSRYT",118.9,86.9,1.1,1.2,"93.3",12.2,5.6,24.8,31.9,1.6,30.6,92.8,1073.1,9.6,2.3,4.2,24.1,26.5,5372
"268","B1040","2012DSRYT",115.3,84,2.7,1.2,"91.3",12.5,3,23.4,28.6,1.1,21,72,905.9,10.2,2.1,4.8,21.8,21.4,3458
"269","B1238","2012DSRYT",111.1,88.8,1.1,1.2,"87.6",12.9,2.4,23.3,29.8,1.2,24.3,79.6,1020.5,9.7,2.4,4,29,28.1,5150
"270","B1173","2012DSRYT",127.7,86.9,1.7,1.2,"99.5",11.7,2.4,26.8,29.5,1.2,22.8,83.1,925.6,9.7,2.2,4.4,22.1,21.6,4056
"271","B1174","2012DSRYT",109.5,90.2,2.2,1.2,"84.9",12.7,3.5,24.4,32.9,1.3,27.3,86.9,1063.8,10.3,2.2,4.8,23.5,26,4588
"272","B1175","2012DSRYT",107.3,83.1,1.1,1.2,"83.4",12.4,3.9,24,29.7,1.1,22.3,85.4,1026.5,9.9,2.1,5,23,24,5187
"273","B1239","2012DSRYT",129.6,86.9,2.7,1.2,"102.3",12.7,2.2,25.8,31.2,1,21.9,72.7,935.1,9.8,2.4,4.1,26.6,23.8,4321
"274","B1240","2012DSRYT",99.6,85,1.1,1.2,"78.6",13.9,3.1,21.5,30.8,1.2,23.8,71.2,1021.3,9.4,2.3,4.2,23.9,24.9,5382
"275","B1241","2012DSRYT",114.6,83.5,1.1,1.2,"88.9",12.7,2.9,25.1,31.5,1.2,24.8,80.8,1014.2,9.4,2.3,4.2,25.5,25.8,5153
"276","B1242","2012DSRYT",107.9,83.1,1.1,1.2,"79.8",13.3,2.5,24.9,29,1.1,21.6,82.8,1049.4,9.6,2.3,4.3,24.6,26.3,4959
"277","B1243","2012DSRYT",118.4,91.6,1.1,1.2,"93",12.2,3.1,24.7,32.9,1.5,30.3,85,999,9.8,2.3,4.3,26,25.2,3473
"278","B1128","2012DSRYT",113.3,85,1.1,1.2,"90.5",11.5,3.3,22.4,28.2,1.2,22.9,78.6,869.5,10,2.1,4.9,24.5,20.8,3861
"279","B1251","2012DSRYT",105.7,76.4,1.1,1.2,"81.9",13.1,2.6,23.9,26.4,1.1,20.5,71.9,962.5,10.1,2.3,4.3,24.4,23.9,4853
"280","B1129","2012DSRYT",94.8,83.1,1.1,1.2,"71.3",13.1,2.8,24.3,27.4,1,19.8,66.6,899.2,9.8,2.1,4.7,22.1,21.1,4577
"282","B1176","2012DSRYT",104.3,89.7,2.7,1.2,"80.1",14,2.4,24.5,27.2,1,19.5,75.5,1095.1,9.6,2.2,4.4,23.6,26.6,6017
"283","B1177","2012DSRYT",101.4,93.5,1.1,1.2,"80",13,3.2,21.8,30.6,1.2,24.1,68.9,920.2,9.4,2.5,3.8,22.2,21.6,4468
"284","B1130","2012DSRYT",104.9,88.8,1.1,1.2,"79.8",12.4,2.2,25.2,31.8,1.2,25,76.7,944,9.8,2.2,4.4,23.8,23.5,4217
"285","B1244","2012DSRYT",102.8,87.4,1.1,1.2,"80.8",12.6,3,22.4,28.6,1.1,20.9,81.1,1017.1,9,2.2,4.2,21.7,23.3,4218
"286","B1179","2012DSRYT",103.7,92.1,1.1,1.2,"81.9",12.6,5.5,22.1,29.2,1.3,24.1,73.6,936.4,9.9,2.3,4.4,24.4,22.7,4441
"287","B1180","2012DSRYT",100.4,91.2,1.1,1.2,"76.4",13.3,2.1,24.4,32.2,1.3,27.8,70.8,964.7,9.5,2.3,4.2,26.2,24.9,5043
"288","B1181","2012DSRYT",95.3,89.3,1.1,1.3,"73.1",13.1,2.6,23,28.2,1.1,21.1,76.7,1012.9,9.6,2.4,4,23.8,24.8,5328
"290","B1183","2012DSRYT",121.3,89.3,1.1,1.2,"92.8",12.5,2.3,27.4,33.8,1.3,27.8,89.2,1078.2,9.8,2.4,4,25.5,27.8,5496
"291","B1245","2012DSRYT",103.7,87.8,1.1,1.2,"78.7",12.6,2.1,25.2,30.5,1.4,26.5,82.6,1024.1,9.5,2.2,4.3,24.2,24.9,4881
"292","B1246","2012DSRYT",109.6,94,1.1,1.2,"85.1",12.3,1.8,24.4,31.2,1.5,29,86.2,1033.2,9.7,2.4,4,25.4,25.3,5183
"293","B1247","2012DSRYT",114.1,88.3,1.1,1.2,"89.9",12.7,2.5,23.7,31.5,1.2,25.6,91.2,1133.5,9.2,2.2,4.2,21.7,27.1,4948
"294","B1131","2012DSRYT",101.7,90.7,1.1,1.2,"76.4",13,2.2,25.6,35.7,1.2,27.8,71.1,940.8,9.5,2.4,4,25.4,23.7,4860
"296","B1133","2012DSRYT",114.6,84,2.7,1.3,"89.3",13.2,4.5,24.7,32.3,1.2,25.8,81.4,1078.2,9.8,2.4,4.1,25.7,27.8,4212
"299","B1135","2012DSRYT",103.5,85.9,1.1,1.2,"79",12.5,3.1,24.7,32.1,1.2,25,72.6,910.8,9.4,2.3,4.2,25,22.5,3386
"300","B1136","2012DSRYT",98.6,86.9,1.1,1.2,"76.9",13.6,3.3,22.3,28.2,1,20,67.1,952,9.3,2.2,4.2,22.5,22.4,4943
"301","B1137","2012DSRYT",103,86.9,1.1,1.2,"80.8",11.1,5.1,22.5,31.1,1.1,23.3,71.7,777.1,9.7,2.3,4.3,24.5,18.9,2711
"302","B1138","2012DSRYT",101.7,85.9,1.1,1.2,"79.3",13.3,5.9,22.8,29,1,20.8,69.7,953.8,9.5,2.4,4,23.8,24.2,5547
"303","B1252","2012DSRYT",105.3,86.9,1.1,1.5,"82.1",14.3,4,23.3,28.7,1.2,23.2,86.5,1283.2,9.5,2.2,4.3,23.7,31.1,5411
"304","B1041","2012DSRYT",110.1,84,1.1,1.2,"84.1",12.5,4.2,24.3,30.6,1.1,23.4,85.5,1064.6,9.6,2.5,3.9,25.6,27.2,5452
"305","B1042","2012DSRYT",105.3,83.5,1.1,1.2,"81.5",13.2,5.6,24,27.6,1.1,21.4,89.8,1171.8,10.3,2.3,4.6,25.9,30,5440
"307","B1139","2012DSRYT",108.7,83.1,1.1,1.3,"84.1",13.4,4.9,24.5,31.5,1.1,24,79.7,1085.9,9.6,2.4,4.1,26.6,28.5,5014
"308","B1140","2012DSRYT",115.1,83.5,1.1,1.5,"87.6",11.7,3,26.8,32.2,1.3,26.4,76.6,874.8,10.3,2.5,4.2,29.1,23.9,4573
"309","B1141","2012DSRYT",106.7,85,2.2,1.2,"82.8",13.1,2.6,23.9,29.5,1.1,22.2,74.6,989.3,9.8,2.3,4.2,25.8,25.6,5445
"310","B1142","2012DSRYT",102.8,82.6,1.1,1.2,"79.5",12.6,2.6,23.6,29.9,1.3,25.3,77,962.7,9.4,2.4,3.8,26.8,25.2,6341
"311","B1143","2012DSRYT",102.7,85.4,1.7,1.2,"80.1",11.8,2.3,22.9,28,1.2,22.6,74.4,864.1,9.4,2.4,3.9,25.4,20.9,3896
"312","B1144","2012DSRYT",101.4,84.5,1.1,1.2,"78.3",12.9,2.9,23,28.1,1.3,23.1,70.5,918.8,9.5,2.4,4,24.9,23.1,5371
"313","B1043","2012DSRYT",99.2,79.3,1.1,1.2,"77.4",12,2.7,22.4,30.8,1,21.8,69.9,843.2,9,2.3,3.9,22.2,20,4877
"314","B1044","2012DSRYT",112.6,86.4,3.2,1.2,"90.5",13.6,3.1,21.9,28.7,1.2,22.9,70.9,994.1,10,2.2,4.5,23.9,24,3655
"315","B1045","2012DSRYT",106.2,83.1,1.1,1.2,"82.5",11.9,4.6,23.8,29.7,1.3,24.4,74.7,880.4,9.5,2.3,4.2,21.1,20.2,4307
"317","B1145","2012DSRYT",112.2,94.5,1.1,1.3,"87.5",11.5,2.3,24.4,31.5,1.2,25.1,77.2,855.5,9.6,2.3,4.1,23.3,20.7,4167
"318","B1146","2012DSRYT",112.2,90.7,1.1,1.2,"87.9",12.8,2.3,24,29.6,1.1,22.7,74,959.1,9.5,2.3,4.1,24.8,24.7,4757
"319","B1184","2012DSRYT",112.5,89.7,1.1,1.2,"90.2",11.7,4.6,21.9,27.5,1.3,23.3,80.7,910.4,9.6,2.4,4,24.9,22.8,4780
"320","B1185","2012DSRYT",105.4,85,1.1,1.3,"81.5",13.3,2.2,24,30.1,1.1,22.5,73.9,999.6,10,2.2,4.7,24.9,24,4920
"321","B1186","2012DSRYT",108.2,90.7,1.1,1.2,"86.3",13.1,3.9,21.9,27.7,1,20,73.4,972.9,9.5,2.4,4,23.3,23.4,4809
"322","B1187","2012DSRYT",113.8,86.4,1.1,1.2,"90",13,3.5,23.4,32.3,1.2,26.2,79.4,1034.8,9.7,2.4,4.1,26.7,27.2,5147
"323","B1188","2012DSRYT",105.8,82.6,1.1,1.2,"83.8",12.9,2.9,22.1,29.9,1.1,21.7,71.1,927.2,9.6,2.3,4.2,24.5,22.9,5526
"324","B1189","2012DSRYT",111.6,90.2,1.1,1.3,"86.7",12.7,2.1,24.6,27,1.3,22.1,77.2,985.7,9.6,2.3,4.1,25,25.2,5181
"325","B1190","2012DSRYT",117.1,89.7,1.1,1.2,"91.3",12.2,3.5,25.1,30.3,1.2,24.1,83.3,989.8,9.6,2.3,4.2,25,24.7,5863
"326","B1191","2012DSRYT",116,89.3,1.1,1.2,"90.2",12.7,2.4,25.1,30,1.1,22,74.5,958,10.5,2.2,4.8,23.2,23,4667
"327","B1192","2012DSRYT",114.7,89.3,1.1,1.2,"88.8",12.8,3,25.4,29.1,1.1,21.3,72.4,939.4,9.5,2.3,4.2,24.5,23.3,4380
"328","B1047","2012DSRYT",106.5,85,1.1,1.2,"84.4",12.8,2.9,22.2,30.7,1.2,24.8,62.7,827.1,9.3,2.2,4.2,24.5,20,4592
"329","B1193","2012DSRYT",116.3,95,1.1,1.2,"91.9",12.5,2.1,23.9,28.1,1.2,22,78.8,975.3,9.6,2.3,4.2,23.7,23.9,4246
"330","B1194","2012DSRYT",102,89.7,1.1,1.3,"78.7",12.2,2.3,23.7,31.9,1.1,24.1,76.4,918.3,9.4,2.2,4.3,23.3,21.5,4549
"331","B1195","2012DSRYT",114.3,85.9,1.1,1.2,"88.8",12.9,4.1,25,32.9,1.1,24.7,79,997.7,9.7,2.3,4.1,25.8,25.1,3783
"332","B1196","2012DSRYT",108.6,91.2,1.1,1.2,"85.5",12.2,3.9,22.3,28.3,1.3,23.5,80.4,962,9.7,2.3,4.3,24.8,24.6,5154
"333","B1197","2012DSRYT",102.5,88.8,1.1,1.2,"78.6",13,3.1,24.2,29,1.2,23.2,83.6,1083.3,9.8,2.3,4.3,26.1,27.9,5273
"334","B1147","2012DSRYT",116.2,86.4,1.1,1.2,"90.2",13,3.3,25.3,29,1.1,21.9,82,1062.9,9.8,2.4,4.2,28,28.6,6094
"336","B1051","2012DSRYT",100.2,81.6,1.1,1.2,"75.7",12.2,2,24.9,30.8,1.3,25.1,81.4,969.8,9.4,2.4,3.9,25.5,24.7,4693
"337","A1254","2012DSRYT",104.8,82.1,1.1,1.2,"80.2",12,2.7,24.7,27.5,1.3,23.5,83.5,964.2,9.2,2.4,3.9,25.1,24.1,5301
"339","A1259","2012DSRYT",97.1,76.9,1.1,1.2,"74.7",12.6,2.6,23.1,28.8,1.1,21.4,67.5,873.2,9.8,2.4,4.1,26.8,22.7,4912
"346","A1257","2012WSRYT",118.8,92.2,1.3,1.4,"94.9",12.9,4.4,23.8,29.1,1.1,21.1,98,1050.8,10.4,2.4,4.3,26.4,29.5,5118.1
"347","A1258","2012WSRYT",125,89.2,1.2,1.3,"98.7",11.8,6.8,26.8,34.8,1.2,27.6,114.7,1031.7,10.3,2.5,4.1,27.8,29,5279.4
"348","A1302","2012WSRYT",117.7,95.7,1.3,1.4,"93.3",12.5,3.9,23.9,35.3,1.1,26,117,1094,9.7,2.3,4.3,22.3,28.9,5245.1
"351","B1053","2012WSRYT",116.8,93.4,1.2,1.3,"91.9",12.9,3,24.5,28.5,1.1,20.4,97.2,1032,10.4,2.4,4.4,26.4,28.4,5280.4
"352","A1260","2012WSRYT",120.3,94.8,1.3,1.4,"96.8",12.5,4.2,23.9,33.1,1.1,23.5,111.8,1138.7,10.1,2.5,4,25.9,31,5281.4
"357","A1304","2012WSRYT",124.2,94.9,1.2,1.3,"100.3",13.7,3.8,24.5,33.4,1,23.4,90.4,1045.1,10,2.5,4,28.5,30.5,5210.8
"359","A1263","2012WSRYT",111.9,94.4,1.2,1.3,"84.4",11.4,2.3,26.1,35.6,1.1,26.8,128.9,983.9,9.2,2.7,3.4,28.1,28.6,5182.8
"360","B1201","2012WSRYT",129.3,105.2,1.2,1.3,"106.9",11.3,5.4,24,29.6,1.2,23.3,108.3,947.4,9.4,2.4,4,22,23.8,4227.8
"361","B1202","2012WSRYT",116.7,95.8,1.2,1.3,"91.3",12.5,3.5,25,29.7,1.2,23.1,97.4,1027.1,10,2.5,4.1,27.9,28.9,4862.4
"362","B1203","2012WSRYT",115.7,95.7,1.3,1.4,"90.4",12.8,2,24.2,29.9,1.1,21.8,106.7,1076,9.8,2.5,3.9,26.5,29.3,5437.1
"363","B1204","2012WSRYT",123.8,98.2,1.2,1.3,"102.6",12.7,3.6,22.2,26.2,1.1,19.1,106.9,1011.6,9.5,2.3,4.2,22.7,26.9,4470.4
"364","B1102","2012WSRYT",120.5,92.5,1.2,1.3,"97.7",11.6,7.1,23.1,31.1,1.2,24.9,120.6,1065.8,9.4,2.3,4,23.5,27.8,4963.1
"365","B1054","2012WSRYT",118.3,89.2,1.2,1.3,"95.8",13.2,3.8,22,28.8,1.1,21,94.8,1078.3,9.9,2.3,4.3,24.6,30,5815.4
"366","B1205","2012WSRYT",127.8,97.2,1.2,1.3,"103.4",11.6,3.7,25.4,31.2,1.3,26.4,103.4,992,9.9,2.4,4.2,23.9,26.8,4879.8
"367","B1151","2012WSRYT",124.5,90.4,1.3,1.4,"102.3",12.1,4.7,23.8,32,1.1,23.8,111.5,1060.9,10,2.5,4,22.7,28.7,4976.8
"368","B1206","2012WSRYT",130.6,96.6,1.3,1.4,"109.4",12.7,3.3,24.3,31.6,1.2,24.5,100.7,1049.4,10.1,2.4,4.2,26.2,29.2,5273.1
"369","B1152","2012WSRYT",124.7,96.6,1.3,1.4,"101.3",12.3,3.3,24.7,34.1,1,24,96.2,991.2,9.8,2.6,3.8,25.8,28.1,5371.8
"370","B1207","2012WSRYT",119.9,94.4,1.2,1.3,"94.2",12.8,4.6,25.6,34,1.1,25.9,103.4,1114.8,10.4,2.5,4.2,25.2,29.9,5270.4
"371","B1208","2012WSRYT",122.9,95.3,1.2,1.3,"99.9",13.1,3,23.7,31.2,1.1,22.3,107.2,1045.9,9.6,2.4,4,23.7,27.9,4690.4
"372","A1307","2012WSRYT",121.8,91.6,1.2,1.3,"98.5",12.9,4.1,23.7,30.9,1,21.8,96.1,1005.5,9.6,2.3,4.2,26.2,28.1,4968.1
"374","A1309","2012WSRYT",123.9,93.9,5.3,1.4,"99.7",13.5,4.1,25.1,34.7,1.2,27.4,118.3,1224.5,9.5,2.3,4.1,24.3,33.3,5543.4
"375","A1310","2012WSRYT",117.5,93,1.2,1.6,"92.2",12.9,3.7,24.9,32.8,1.3,27.5,113.1,1163.2,9.4,2.3,4,24.1,31.8,5616.8
"376","A1313","2012WSRYT",109.8,88.7,1.2,1.3,"84.2",14.3,4.8,24.3,31.8,1.1,23.9,94.5,1129.2,9.7,2.4,4.2,20.9,28.1,3965.4
"377","A1314","2012WSRYT",118.6,91.6,1.2,1.3,"94.1",12.8,3.1,24.5,32.1,1.1,24.1,121.7,1175.5,9.2,2.4,3.8,22.8,30.1,5541.4
"378","A1311","2012WSRYT",122.1,83.2,1.2,1.3,"99.4",12.2,5.3,23.2,33.3,1.3,28.6,108.9,1049.9,9.7,2.3,4.2,22.3,27.2,4630.1
"379","A1312","2012WSRYT",122.5,89.5,3.3,1.4,"99.4",12.8,4.4,24,32.9,1.2,26.2,105.5,1082,10.1,2.4,4.3,23.6,29.1,4617.1
"380","M1345","2012WSRYT",114.4,100,1.2,1.9,"92.1",12.2,4,22,29.1,1.2,23.5,100.8,893.7,9.5,2.4,4,25,24.9,3348.1
"382","M1351","2012WSRYT",118,93.9,1.3,1.4,"94.4",12.1,3.2,23.4,31.6,1.1,22.9,109.8,1057.3,10.4,2.4,4.3,26.8,29.6,4478.8
"383","M1352","2012WSRYT",125.6,98.2,1.2,1.6,"101.5",11.7,2.8,24.9,30.2,1.2,23.9,104.4,1016.1,10.1,2.4,4.2,28.1,29.1,4938.1
"384","M1353","2012WSRYT",121.6,92.5,2.5,1.6,"98",12.3,3.6,24,33.2,1.2,26.3,110.1,1072,10.2,2.4,4.2,26.6,30.3,5536.1
"385","M1354","2012WSRYT",120.5,90.1,3.2,1.6,"96.9",14.2,2.8,23.8,33.3,1.1,25.2,107.6,1080.5,10.3,2.4,4.3,26.8,29.9,4863.8
"386","M1356","2012WSRYT",124.6,93.4,1.2,1.9,"100.8",11.7,3,24.5,32.9,1.1,25.3,121.7,1128.4,10.1,2.6,3.9,26.4,31.5,4762.4
"387","M1357","2012WSRYT",116.9,92,1.2,1.3,"92.7",11,3.6,23.9,34.4,1.1,26.5,123.5,1037.7,10.5,2.6,4.1,27.1,29.4,5668.1
"388","M1358","2012WSRYT",121.1,94.8,1.3,1.4,"100",12.1,4.9,22.2,30.8,1.1,22.6,110.4,959.5,9.9,2.4,4.1,25.1,26.7,4438.4
"389","M1359","2012WSRYT",130.8,93.4,3.9,1.6,"108",12.5,4.4,24.5,34.3,1.2,26.9,98.4,943.9,10.4,2.5,4.1,25,27.3,4071.8
"390","M1360","2012WSRYT",116.9,93.9,1.2,1.6,"92.9",11.3,2.1,23.8,35.1,1.1,27,101.1,956.5,11.3,2.5,4.5,29.3,28.2,5166.4
"391","M1361","2012WSRYT",118.5,96.3,1.2,1.3,"95.5",13.3,2.7,23.1,27.6,1.1,19.7,112.4,1145.1,9.6,2.5,3.9,24.3,30.8,4843.8
"393","B1209","2012WSRYT",124.1,93,3.2,1.3,"101",14,7,23.8,30.9,1.3,25.8,126.2,1312.9,9.1,2.4,3.9,21.2,32.1,4370.1
"394","B1210","2012WSRYT",117.2,90.4,1.3,1.7,"*",12.6,4.3,24.2,31.7,1.2,24.5,106.8,926.1,9.4,2.3,4.1,25.1,25.5,5102.8
"395","B1103","2012WSRYT",115,88.3,1.2,1.3,"89.6",11.9,4.3,24.7,33.3,1.1,24.6,126.4,1058.1,9.3,2.3,4,25,29.2,4977.1
"396","B1153","2012WSRYT",123.3,94.9,1.2,1.3,"101.9",12.8,3.8,22.3,31.2,1.1,23.4,104.9,1111.7,9.6,2.4,3.9,24.1,28.3,4929.8
"397","B1005","2012WSRYT",109.7,86.8,1.3,1.4,"85.5",13.4,2.9,22,27.5,1.1,20.2,100.1,1102.8,8.7,2.4,3.7,22.5,28.6,5297.8
"398","B1104","2012WSRYT",133.5,91.1,1.2,1.3,"109.9",13.4,3,25.5,36,1.2,28.6,109.8,1214.5,9.5,2.6,3.7,29,35,4885.4
"399","B1105","2012WSRYT",126.3,91.6,1.2,1.3,"102.6",11.7,3,24.6,34.9,1.2,28.2,105.6,961.9,9.6,2.4,4,26.5,26.7,4808.1
"400","B1106","2012WSRYT",114.2,93,1.3,1.4,"88.1",12.5,5,24.4,31.2,1.1,22.7,111.7,1149.1,10.4,2.3,4.7,24.5,30.7,5121.8
"402","B1107","2012WSRYT",128.9,93.9,1.3,1.7,"103.7",11.8,4.1,26.9,31.2,1.2,25.7,107.1,1015.8,10.8,2.3,4.9,23.9,29.5,5249.4
"403","B1056","2012WSRYT",122.8,82.6,1.2,1.3,"98.4",14,4.7,24.8,32.4,1.1,24.4,85,995.8,9.4,2.5,3.8,25.8,26.9,5159.1
"404","B1108","2012WSRYT",117.1,93.9,1.3,1.7,"92.9",11.9,3.9,23.6,29.2,1.1,21.6,107.5,1035.2,10,2.4,4.1,25.8,28.5,5098.1
"405","B1211","2012WSRYT",122.8,93.9,1.2,1.3,"97.4",13.5,3.2,25.6,32.3,1.1,24.1,108.5,1164.5,9.9,2.4,4.2,24.8,31.2,4931.1
"406","A1264","2012WSRYT",112,88.3,1.2,1.6,"87.1",11.7,2.3,23.9,31.1,1.3,26.6,129.2,1056.5,9.1,2.3,4,24.3,28.3,5038.8
"407","A1265","2012WSRYT",120.3,93.9,1.3,1.4,"95.8",12.5,2.9,24.6,31,1.1,23.4,106.9,1066.1,9.9,2.4,4.2,26.4,29.6,5243.8
"410","A1316","2012WSRYT",117.2,87.8,1.2,1.6,"93.1",14,5.9,24,30.7,1.2,24.8,118.8,1326.5,9.6,2.4,4,25.2,36.1,5377.1
"411","A1269","2012WSRYT",125,93.9,1.2,1.3,"99.4",13.7,4.6,26.2,33.2,1.1,23.7,111.2,1273.5,10.4,2.2,4.9,25.9,33.7,5013.4
"412","A1273","2012WSRYT",122.6,89.2,1.2,1.3,"97.4",11.3,4.2,25.5,34.3,1.3,30,101.5,904.7,10.5,2.5,4.2,28.8,27.2,5004.8
"413","A1274","2012WSRYT",109.4,86.8,1.3,1.7,"82.1",13.8,4.1,24.2,31.5,1.1,24.3,103.8,1155.6,9.6,2.4,4,24.4,31.1,5746.4
"414","A1275","2012WSRYT",113.7,89.7,1.2,1.6,"90",13.3,4.1,23.1,31.5,1.2,24.5,91.2,1077.8,9.8,2.4,4.1,26.3,29.7,5018.4
"415","A1276","2012WSRYT",130.8,91.6,3.9,1.3,"107.6",12.6,6.7,24.8,32.7,1.4,30.6,105.4,1106,10,2.5,3.9,27,30.4,5409.1
"416","A1279","2012WSRYT",122.2,90.4,1.3,1.7,"96.6",11.7,2.7,25.8,38.7,1.2,30.9,117,999,9.8,2.3,4.3,23.9,27.1,4253.4
"417","M1367","2012WSRYT",121.4,101,1.2,1.3,"98.5",11.4,5.6,23.3,33.2,1.2,26.1,103.7,1026.7,9.2,2.5,3.7,24.9,27.5,4899.8
"418","B1155","2012WSRYT",117.8,90.1,1.2,1.3,"91.4",12.1,3.2,24.6,32,1.1,24.7,109.9,996.7,9.7,2.5,3.9,26.2,28.1,4701.4
"419","B1057","2012WSRYT",123,91.1,1.2,1.6,"98.7",12.5,4.8,24.8,32.4,1.2,26.9,113.6,1098.2,10.1,2.4,4.2,26.4,30.5,4109.1
"420","B1157","2012WSRYT",126.8,93,1.2,1.3,"100.7",13.3,3.5,26.8,32.1,1.2,26.2,116.4,1232,10.6,2.5,4.3,26.8,34.9,5338.1
"421","B1011","2012WSRYT",124.1,98.6,1.2,1.3,"101.9",11.9,3.7,23.1,28.2,1.1,20.5,91.5,962.9,9.9,2.4,4.2,26.5,26.4,4668.1
"422","A1267","2012WSRYT",120,89.5,1.3,1.4,"95.3",13.1,4.2,24.6,31.4,1.1,23.4,106,1119.7,9.7,2.4,4.1,25.8,30.8,5350.4
"423","A1272","2012WSRYT",116.6,89.5,1.3,1.4,"91.1",13.1,3.3,24.6,34.9,1.2,28.2,103.5,1100.7,10.1,2.5,4.2,25.9,30,5023.1
"424","A1270","2012WSRYT",122.6,93.4,1.2,1.3,"100.3",12.1,3.9,23,31.1,1.1,22.2,110.5,1080.3,9.4,2.4,4,22.9,28.1,5240.8
