"","A1257","A1258","A1259","A1260","A1261","A1262","A1263","A1264","A1265","A1267","A1268","A1269","A1270","A1272","A1273","A1274","A1275","A1276","A1277","A1279","A1302","A1304","A1307","A1309","A1310","A1311","A1312","A1313","A1314","A1316","A1317","A1318","A1319","A1320","A1321","B1005","B1007","B1008","B1009","B1010","B1011","B1012","B1019","B1053","B1055","B1057","B1058","B1060","B1061","B1062","B1075","B1102","B1103","B1104","B1105","B1106","B1107","B1110","B1111","B1151","B1152","B1153","B1155","B1157","B1158","B1159","B1160","B1161","B1201","B1202","B1203","B1205","B1206","B1207","B1208","B1209","B1210","B1211","B1216","B1217","B1218","B1219","B1220","M1345","M1347","M1351","M1353","M1354","M1356","M1357","M1358","M1359","M1360","M1361","M1362","M1363","M1364","M1365","M1366","M1367","M1368","M1463","M1464","M1465","M1467","M1469","M1471"
"M1357",1.64831,1.64516,1.55566,1.58319,1.58539,1.55492,1.61357,1.56854,1.61321,1.62924,1.58849,1.62312,1.57315,1.61984,1.66097,1.6116,1.54079,1.56359,1.56592,1.6327,1.61612,1.65305,1.61372,1.61236,1.61275,1.61989,1.61341,1.60796,1.57068,1.59138,1.64068,1.64226,1.65385,1.56991,1.59926,1.58051,1.62094,1.59536,1.60152,1.61984,1.60597,1.55723,1.61078,1.54329,1.61912,1.5797,1.60127,1.61681,1.6212,1.64511,1.56756,1.59583,1.61285,1.61634,1.60799,1.57623,1.69652,1.58197,1.58817,1.61323,1.62095,1.65273,1.63801,1.59417,1.54653,1.60352,1.61039,1.65324,1.70061,1.64031,1.60494,1.64686,1.67292,1.59032,1.6386,1.66924,1.58334,1.64158,1.64746,1.63944,1.53211,1.55319,1.61103,1.65424,1.6781,1.99163,1.9916,1.9917,1.99209,2,1.60353,1.87286,1.84094,1.99214,1.58477,1.61083,1.59109,1.60792,1.61172,1.52504,1.62929,1.5611,1.57678,1.5604,1.80085,1.61568,1.70693
"M1358",1.63466,1.65766,1.61194,1.59122,1.54891,1.51163,1.65,1.62154,1.60489,1.60862,1.61989,1.60674,1.59558,1.65258,1.66923,1.65011,1.61705,1.63196,1.63681,1.63489,1.6136,1.62158,1.56079,1.55905,1.55644,1.59006,1.56397,1.57741,1.59174,1.60769,1.65682,1.62577,1.62519,1.627,1.64035,1.59204,1.59747,1.59322,1.59521,1.62561,1.61287,1.57708,1.61079,1.60095,1.65234,1.57299,1.5792,1.62407,1.59709,1.61442,1.57972,1.61933,1.54762,1.58801,1.58762,1.61598,1.60686,1.61079,1.62033,1.62232,1.65647,1.55708,1.58226,1.63036,1.59632,1.54953,1.57865,1.58691,1.59589,1.61592,1.59412,1.75629,1.71331,1.63914,1.69755,1.68941,1.5525,1.65489,1.63645,1.7159,1.51768,1.52158,1.58567,1.62337,1.56762,1.60443,1.60311,1.6064,1.6057,1.60353,2,1.74483,1.59874,1.60591,1.56091,1.56918,1.55464,1.60466,1.61409,1.58758,1.58905,1.56206,1.56985,1.55741,1.61994,1.58609,1.66816
"M1359",1.65028,1.64105,1.59163,1.57177,1.59081,1.57675,1.60735,1.60904,1.62845,1.61041,1.58124,1.62391,1.60444,1.60949,1.64809,1.61382,1.55438,1.56925,1.58615,1.65231,1.60655,1.6285,1.5919,1.59058,1.59182,1.59391,1.59816,1.6106,1.55879,1.6093,1.65378,1.65581,1.65742,1.61463,1.61862,1.5906,1.61125,1.6269,1.64308,1.60059,1.5911,1.58122,1.61275,1.54459,1.62245,1.60731,1.59483,1.60354,1.6073,1.63068,1.56705,1.5969,1.59218,1.58101,1.58634,1.56889,1.65682,1.61079,1.62257,1.59393,1.63428,1.63915,1.62864,1.58555,1.54386,1.57472,1.60227,1.63638,1.6795,1.63939,1.64392,1.67055,1.69373,1.57939,1.66446,1.66311,1.56426,1.64724,1.62785,1.6335,1.54162,1.54844,1.57879,1.61333,1.6601,1.87332,1.87237,1.87447,1.87359,1.87286,1.74483,2,1.76401,1.87512,1.61572,1.57731,1.5556,1.63444,1.62369,1.55128,1.62788,1.57175,1.60683,1.57904,1.74259,1.61618,1.68587
"M1360",1.64347,1.66499,1.55833,1.59526,1.58491,1.58456,1.62615,1.56728,1.61973,1.65809,1.59482,1.60845,1.56228,1.63479,1.66757,1.61147,1.57488,1.58768,1.56874,1.60544,1.62307,1.63193,1.61436,1.61488,1.61385,1.61634,1.61266,1.58911,1.58435,1.58494,1.64403,1.62751,1.64575,1.56776,1.6047,1.56069,1.64181,1.6263,1.59338,1.62716,1.61973,1.55855,1.61957,1.55416,1.60809,1.57322,1.60748,1.62251,1.62345,1.65592,1.56841,1.61542,1.6057,1.61537,1.61404,1.57601,1.6699,1.57247,1.58573,1.59803,1.61301,1.63757,1.63002,1.59815,1.56664,1.62591,1.61885,1.65522,1.69969,1.6525,1.61548,1.64166,1.68099,1.61833,1.61763,1.65649,1.59632,1.67462,1.62537,1.62484,1.53422,1.54348,1.62803,1.6145,1.64692,1.84112,1.84078,1.84278,1.8427,1.84094,1.59874,1.76401,2,1.84237,1.59844,1.59079,1.61376,1.59758,1.59543,1.52914,1.61958,1.61219,1.57464,1.64038,1.69435,1.62529,1.65981
"M1361",1.64941,1.64758,1.55684,1.58316,1.58738,1.55738,1.61518,1.56988,1.61453,1.62944,1.59014,1.62481,1.57511,1.62091,1.66242,1.61282,1.5434,1.56444,1.56722,1.63347,1.61901,1.65526,1.6161,1.61492,1.6151,1.62277,1.61599,1.61008,1.57234,1.59237,1.64204,1.64294,1.65499,1.57068,1.59986,1.58101,1.6211,1.59629,1.60362,1.62161,1.60694,1.5585,1.61121,1.54362,1.62116,1.58256,1.60274,1.61887,1.62271,1.64719,1.56815,1.59727,1.61491,1.61787,1.60916,1.57766,1.69843,1.58362,1.58945,1.6151,1.62207,1.65376,1.63967,1.59588,1.5479,1.60462,1.61123,1.65493,1.70197,1.64119,1.60699,1.64895,1.67394,1.59156,1.63993,1.67014,1.58414,1.64394,1.65012,1.64135,1.53414,1.555,1.61308,1.65622,1.67979,1.99239,1.9924,1.99268,1.99282,1.99214,1.60591,1.87512,1.84237,2,1.58785,1.61352,1.5911,1.60892,1.61192,1.52481,1.6297,1.56357,1.57958,1.56301,1.80217,1.61622,1.70852
"M1362",1.68932,1.64782,1.62502,1.60093,1.67014,1.59387,1.64698,1.66941,1.6695,1.65787,1.6406,1.65955,1.64223,1.6477,1.66629,1.64924,1.63896,1.63496,1.63074,1.66015,1.57957,1.6173,1.77425,1.77708,1.77019,1.61485,1.80162,1.70116,1.60126,1.62902,1.63212,1.64675,1.64198,1.60792,1.56584,1.63826,1.6041,1.62737,1.6389,1.67516,1.6183,1.64679,1.62475,1.59937,1.65785,1.67206,1.62788,1.64991,1.63189,1.66817,1.59876,1.60162,1.67883,1.62048,1.62782,1.63218,1.65246,1.6022,1.60889,1.59696,1.63317,1.69024,1.63961,1.62375,1.61718,1.6088,1.63631,1.6338,1.63404,1.58877,1.58368,1.58712,1.61306,1.6327,1.64946,1.71061,1.55606,1.6449,1.62953,1.56198,1.66498,1.6403,1.63209,1.53185,1.63921,1.58491,1.58372,1.58573,1.58483,1.58477,1.56091,1.61572,1.59844,1.58785,2,1.61383,1.63216,1.5842,1.62663,1.58735,1.65706,1.58533,1.70024,1.64006,1.61879,1.67099,1.65986
"M1363",1.64662,1.64679,1.59062,1.63985,1.61967,1.55049,1.64866,1.63056,1.60171,1.65217,1.60713,1.66855,1.62064,1.6053,1.6279,1.61617,1.63504,1.62939,1.65989,1.60721,1.56699,1.61273,1.67729,1.67623,1.67402,1.55778,1.66824,1.64709,1.57859,1.56862,1.58119,1.60773,1.62944,1.62062,1.56066,1.59884,1.59469,1.57379,1.58283,1.68764,1.63902,1.59625,1.61763,1.63007,1.64773,1.55218,1.60362,1.67738,1.64716,1.66735,1.64305,1.58415,1.63356,1.62388,1.61487,1.61518,1.67126,1.62641,1.60984,1.6593,1.64019,1.64922,1.64806,1.62632,1.55045,1.58891,1.59191,1.69713,1.59178,1.53696,1.5263,1.60192,1.62721,1.63219,1.69412,1.72149,1.6064,1.66993,1.6875,1.66975,1.59864,1.70831,1.66158,1.60992,1.61094,1.61147,1.60994,1.61246,1.61199,1.61083,1.56918,1.57731,1.59079,1.61352,1.61383,2,1.57316,1.57537,1.56904,1.55238,1.61557,1.54021,1.63047,1.53872,1.65556,1.60166,1.62464
"M1364",1.69214,1.66278,1.71679,1.62945,1.5981,1.48491,1.64135,1.70676,1.68485,1.6847,1.66392,1.64101,1.59041,1.71771,1.708,1.71249,1.59632,1.61183,1.598,1.60015,1.59859,1.59358,1.6204,1.61874,1.61566,1.61128,1.63858,1.64635,1.63941,1.65129,1.62329,1.61733,1.61127,1.59235,1.59292,1.68376,1.60346,1.61492,1.60063,1.68604,1.65146,1.71368,1.67156,1.70279,1.64478,1.61928,1.63538,1.68139,1.65277,1.67157,1.62837,1.63335,1.62911,1.67931,1.63612,1.7112,1.67765,1.60853,1.63052,1.67805,1.65006,1.62503,1.62954,1.68823,1.57948,1.62152,1.63768,1.61518,1.6271,1.62318,1.59469,1.63408,1.63564,1.68614,1.62318,1.74643,1.58137,1.64352,1.61942,1.62771,1.56814,1.53184,1.63014,1.5552,1.62728,1.59008,1.58876,1.59273,1.59336,1.59109,1.55464,1.5556,1.61376,1.5911,1.63216,1.57316,2,1.60052,1.60802,1.6021,1.64797,1.5939,1.58256,1.59885,1.63456,1.64774,1.61347
"M1365",1.68799,1.63857,1.64764,1.58038,1.62912,1.5444,1.61938,1.65673,1.63041,1.67253,1.59725,1.62721,1.64028,1.68621,1.67211,1.6967,1.60958,1.5877,1.59209,1.66157,1.59872,1.63568,1.62029,1.62247,1.61741,1.60437,1.59683,1.61896,1.55353,1.61824,1.6055,1.59733,1.59417,1.62669,1.66129,1.6911,1.64492,1.59182,1.62513,1.64148,1.61311,1.67742,1.60016,1.55621,1.61729,1.61927,1.65488,1.63784,1.58689,1.63899,1.56485,1.58813,1.63253,1.59818,1.59885,1.61982,1.6157,1.65118,1.64071,1.60231,1.62949,1.56448,1.62214,1.62547,1.5429,1.5948,1.59274,1.62615,1.6155,1.6417,1.661,1.66499,1.62272,1.62353,1.64385,1.68974,1.64051,1.64315,1.61632,1.59319,1.60017,1.59092,1.60897,1.55571,1.60179,1.60717,1.60572,1.60933,1.60881,1.60792,1.60466,1.63444,1.59758,1.60892,1.5842,1.57537,1.60052,2,1.60159,1.6136,1.59552,1.56424,1.63262,1.55637,1.61337,1.60176,1.61346
"M1366",1.69415,1.66441,1.60595,1.68073,1.6033,1.55342,1.65013,1.63213,1.7303,1.66057,1.64909,1.65052,1.62003,1.68996,1.70946,1.66824,1.64736,1.67019,1.64791,1.66871,1.63606,1.63679,1.61254,1.61043,1.6093,1.65606,1.59695,1.64673,1.63107,1.61566,1.70343,1.74445,1.73714,1.68866,1.61694,1.64902,1.64374,1.65819,1.64417,1.7363,1.72723,1.57741,1.75865,1.56455,1.70793,1.62468,1.62628,1.68256,1.66323,1.62655,1.6875,1.66294,1.65135,1.67168,1.66121,1.65122,1.63788,1.58925,1.61496,1.59335,1.70905,1.66471,1.61925,1.65943,1.59108,1.63097,1.63211,1.61325,1.69536,1.59857,1.66499,1.60147,1.61813,1.70914,1.64581,1.68109,1.57017,1.64329,1.65044,1.55784,1.60468,1.55228,1.58917,1.50303,1.63688,1.61043,1.60988,1.6132,1.6129,1.61172,1.61409,1.62369,1.59543,1.61192,1.62663,1.56904,1.60802,1.60159,2,1.68544,1.66675,1.6214,1.56448,1.59458,1.66851,1.69068,1.6676
"M1367",1.66074,1.67497,1.6214,1.73497,1.65362,1.54566,1.65144,1.69876,1.75164,1.69665,1.72106,1.66458,1.6893,1.65018,1.66628,1.62592,1.65146,1.6853,1.62601,1.61258,1.57387,1.58403,1.61893,1.61398,1.61603,1.58288,1.60923,1.64079,1.61629,1.59189,1.68923,1.7652,1.71301,1.73976,1.64684,1.64869,1.63559,1.60969,1.64551,1.80017,1.69288,1.63773,1.75666,1.55836,1.76033,1.62477,1.60333,1.70677,1.65274,1.61933,1.73208,1.70811,1.61779,1.68207,1.66596,1.70579,1.58602,1.60835,1.61099,1.57166,1.77833,1.61138,1.57817,1.6687,1.58031,1.53968,1.5961,1.59987,1.58741,1.5873,1.6336,1.62289,1.57677,1.67733,1.594,1.65762,1.57535,1.64005,1.62472,1.52528,1.62186,1.57347,1.56307,1.47348,1.57003,1.52365,1.52341,1.52557,1.52547,1.52504,1.58758,1.55128,1.52914,1.52481,1.58735,1.55238,1.6021,1.6136,1.68544,2,1.61567,1.6301,1.63204,1.58631,1.6543,1.71021,1.60132
"M1368",1.70803,1.6231,1.6245,1.66951,1.60722,1.57696,1.66073,1.66899,1.72215,1.74912,1.66847,1.67215,1.62485,1.67619,1.66802,1.67351,1.64327,1.62855,1.67047,1.62471,1.57848,1.62813,1.63296,1.63862,1.63046,1.59095,1.64586,1.66151,1.631,1.62721,1.67338,1.70998,1.70892,1.65744,1.63293,1.64997,1.67014,1.66385,1.64358,1.74865,1.67804,1.63387,1.69772,1.6149,1.70564,1.61769,1.62881,1.72136,1.69019,1.68311,1.68407,1.68155,1.67042,1.67962,1.67779,1.69362,1.69345,1.62842,1.64114,1.63728,1.72352,1.69062,1.69699,1.65136,1.60054,1.66306,1.70447,1.70034,1.63278,1.61043,1.60247,1.60823,1.65395,1.67892,1.67031,1.73141,1.64675,1.63438,1.68238,1.62057,1.6401,1.60599,1.60928,1.55075,1.67752,1.62721,1.62649,1.62942,1.62905,1.62929,1.58905,1.62788,1.61958,1.6297,1.65706,1.61557,1.64797,1.59552,1.66675,1.61567,2,1.59083,1.62812,1.60651,1.69578,1.66788,1.65056
"M1463",1.65506,1.63549,1.58623,1.62286,1.60922,1.65464,1.61869,1.64485,1.69022,1.65371,1.58617,1.55346,1.59922,1.63424,1.6303,1.60207,1.5978,1.59867,1.56819,1.61364,1.57448,1.58635,1.59205,1.58883,1.58721,1.56412,1.57095,1.56661,1.60684,1.59263,1.61559,1.65426,1.65126,1.60482,1.61535,1.58671,1.62168,1.63497,1.62887,1.62299,1.66166,1.59695,1.66167,1.57584,1.62595,1.69262,1.68182,1.60519,1.62567,1.60171,1.61164,1.63252,1.61713,1.64783,1.64687,1.62443,1.66732,1.61603,1.64772,1.5665,1.63426,1.56497,1.59715,1.63599,1.63213,1.66194,1.6388,1.57052,1.63871,1.60063,1.68199,1.6082,1.58985,1.63349,1.60761,1.65259,1.58266,1.6552,1.59661,1.55513,1.53374,1.5122,1.55233,1.48758,1.56709,1.5615,1.56168,1.56336,1.56394,1.5611,1.56206,1.57175,1.61219,1.56357,1.58533,1.54021,1.5939,1.56424,1.6214,1.6301,1.59083,2,1.6329,1.71703,1.56977,1.70586,1.62593
"M1464",1.70794,1.62986,1.63147,1.61164,1.72121,1.60983,1.66235,1.69655,1.67077,1.67305,1.65755,1.70616,1.7331,1.62616,1.64226,1.62686,1.61781,1.5997,1.62894,1.62151,1.62408,1.62199,1.73845,1.73512,1.73437,1.61224,1.74626,1.71404,1.64473,1.62188,1.65099,1.62399,1.61634,1.63056,1.62296,1.63964,1.65201,1.5898,1.63884,1.70584,1.61963,1.6729,1.59984,1.57123,1.6818,1.70785,1.71384,1.65511,1.62449,1.6659,1.61235,1.62611,1.69942,1.64107,1.62292,1.66188,1.64716,1.65008,1.62515,1.59986,1.65609,1.68369,1.61159,1.63949,1.60819,1.64784,1.64521,1.6668,1.59786,1.59187,1.60575,1.59986,1.6187,1.62108,1.63763,1.68527,1.61019,1.65403,1.61891,1.5535,1.69301,1.70401,1.64811,1.52922,1.60361,1.57672,1.57485,1.57778,1.57745,1.57678,1.56985,1.60683,1.57464,1.57958,1.70024,1.63047,1.58256,1.63262,1.56448,1.63204,1.62812,1.6329,2,1.65697,1.66062,1.65777,1.6386
"M1465",1.6642,1.59033,1.58357,1.57934,1.57514,1.56469,1.58825,1.59392,1.64196,1.62974,1.57081,1.55403,1.59174,1.62037,1.59376,1.59067,1.56449,1.57656,1.55314,1.56621,1.55523,1.54531,1.60975,1.60794,1.60773,1.53244,1.58557,1.60358,1.60202,1.664,1.61573,1.61752,1.60706,1.54861,1.5798,1.58387,1.58326,1.6407,1.7014,1.62507,1.60717,1.61161,1.6165,1.53959,1.61017,1.6432,1.61193,1.60605,1.57788,1.69994,1.61963,1.64719,1.59518,1.5776,1.56601,1.68994,1.67534,1.56138,1.56941,1.55775,1.60117,1.59797,1.59593,1.57319,1.635,1.57766,1.58836,1.58631,1.55444,1.54992,1.58839,1.59362,1.57328,1.56255,1.58182,1.63143,1.52913,1.60781,1.60448,1.53608,1.57569,1.557,1.60013,1.50128,1.60364,1.56141,1.55996,1.56117,1.56169,1.5604,1.55741,1.57904,1.64038,1.56301,1.64006,1.53872,1.59885,1.55637,1.59458,1.58631,1.60651,1.71703,1.65697,2,1.57484,1.60138,1.63016
"M1467",1.68732,1.67398,1.64054,1.68421,1.6789,1.57169,1.67553,1.65445,1.67496,1.74576,1.70359,1.7459,1.68614,1.67546,1.69754,1.67034,1.66074,1.65421,1.67297,1.63828,1.60682,1.62147,1.69917,1.69456,1.69676,1.61912,1.70334,1.70319,1.64029,1.6197,1.69016,1.66997,1.66899,1.67455,1.6107,1.66042,1.66326,1.61585,1.64331,1.7702,1.71077,1.63458,1.70266,1.60912,1.77019,1.63102,1.65111,1.7682,1.73076,1.6892,1.71106,1.69439,1.6559,1.71149,1.68201,1.71658,1.70891,1.62932,1.61893,1.6726,1.73432,1.69838,1.64082,1.68396,1.59758,1.61762,1.62345,1.71286,1.62968,1.62361,1.56311,1.68032,1.69119,1.68765,1.70541,1.76373,1.62115,1.67941,1.72151,1.66887,1.62501,1.62425,1.62144,1.61474,1.66567,1.80084,1.79986,1.80258,1.80234,1.80085,1.61994,1.74259,1.69435,1.80217,1.61879,1.65556,1.63456,1.61337,1.66851,1.6543,1.69578,1.56977,1.66062,1.57484,2,1.68293,1.71417
"M1469",1.67924,1.67366,1.64072,1.73703,1.65177,1.58691,1.67296,1.69035,1.76425,1.77525,1.68252,1.6921,1.64547,1.68999,1.70371,1.66074,1.65997,1.70005,1.6619,1.66272,1.58488,1.61534,1.66869,1.66524,1.6629,1.61066,1.67989,1.68026,1.66957,1.60903,1.68655,1.75714,1.74697,1.7186,1.62426,1.65084,1.71263,1.67448,1.66152,1.77679,1.71691,1.63068,1.76052,1.6189,1.76978,1.67928,1.72572,1.75194,1.71759,1.67875,1.69911,1.72165,1.70851,1.73941,1.73477,1.69939,1.69203,1.67162,1.67187,1.63373,1.75955,1.71004,1.69362,1.68852,1.67306,1.71605,1.70762,1.61765,1.66813,1.67048,1.63844,1.63378,1.65027,1.70418,1.68577,1.73824,1.60987,1.65428,1.64541,1.60022,1.60342,1.56824,1.64684,1.53617,1.68099,1.61367,1.61383,1.61631,1.61725,1.61568,1.58609,1.61618,1.62529,1.61622,1.67099,1.60166,1.64774,1.60176,1.69068,1.71021,1.66788,1.70586,1.65777,1.60138,1.68293,2,1.67273
"M1471",1.72499,1.69472,1.62286,1.65364,1.6221,1.6169,1.70404,1.65093,1.6551,1.71232,1.69283,1.67387,1.62941,1.71731,1.72764,1.68335,1.64628,1.65039,1.65118,1.68437,1.6196,1.70902,1.68941,1.68564,1.68527,1.68192,1.68358,1.70743,1.71715,1.66105,1.7056,1.68199,1.68097,1.61237,1.62203,1.64133,1.68826,1.66889,1.64407,1.69325,1.71853,1.61748,1.66901,1.61878,1.68395,1.6848,1.74075,1.69541,1.68045,1.69063,1.64146,1.69018,1.69231,1.68403,1.69307,1.68436,1.71111,1.6623,1.65686,1.66734,1.68596,1.65627,1.68278,1.65944,1.7816,1.71673,1.65387,1.68248,1.6899,1.65883,1.63154,1.71926,1.73296,1.68692,1.6772,1.73157,1.62354,1.68299,1.71788,1.67215,1.60811,1.58276,1.65785,1.58835,1.66076,1.70607,1.70488,1.70772,1.70744,1.70693,1.66816,1.68587,1.65981,1.70852,1.65986,1.62464,1.61347,1.61346,1.6676,1.60132,1.65056,1.62593,1.6386,1.63016,1.71417,1.67273,2
