"","Line","Env","y.pheno"
"293","M1363",3,3863
"294","M1347",3,3707.33333333333
"295","M1364",3,4002
"296","M1365",3,3788.66666666667
"297","M1368",3,4042.66666666667
"298","M1366",3,3702
"299","B1216",3,4065.33333333333
"300","B1007",3,4384.33333333333
"301","B1008",3,3633.66666666667
"302","B1009",3,4101.33333333333
"303","B1158",3,4795.33333333333
"304","B1159",3,4088
"305","B1160",3,3923.33333333333
"306","B1110",3,4210
"307","B1111",3,4301.66666666667
"308","B1161",3,3630.33333333333
"309","B1062",3,4430.33333333333
"310","B1010",3,3925.33333333333
"311","B1217",3,3848.66666666667
"312","B1218",3,4145
"313","B1219",3,3796.66666666667
"314","B1220",3,3875.66666666667
"315","B1058",3,3918.66666666667
"316","B1060",3,4002
"317","B1061",3,3758.33333333333
"318","B1012",3,4250
"319","B1019",3,4326.66666666667
"320","B1075",3,3983
"321","A1259",3,3870.66666666667
"322","M1463",4,1976
"323","A1257",4,2482.33333333333
"324","A1258",4,2862.66666666667
"325","A1302",4,2472.33333333333
"326","M1464",4,2101.66666666667
"327","A1261",4,2189.66666666667
"328","A1262",4,3090
"329","M1467",4,2807.66666666667
"330","B1053",4,2705.33333333333
"331","A1260",4,2616.66666666667
"332","M1465",4,1893.66666666667
"333","M1469",4,2731.66666666667
"334","A1304",4,2925
"335","M1471",4,2249.66666666667
"336","A1263",4,2742
"337","B1201",4,2534.66666666667
"338","B1202",4,2488.33333333333
"339","B1203",4,2634
"340","B1102",4,2335.66666666667
"341","B1205",4,2434.33333333333
"342","B1151",4,2724.66666666667
"343","B1206",4,2426
"344","B1152",4,2784
"345","B1207",4,2853.66666666667
"346","B1208",4,2516.66666666667
"347","A1307",4,2792
"348","A1309",4,2648.66666666667
"349","A1310",4,2711.66666666667
"350","A1313",4,2016
"351","A1314",4,2417
"352","A1311",4,1834.66666666667
"353","A1312",4,2424.66666666667
"354","M1345",4,1961.66666666667
"355","M1351",4,2788.33333333333
"356","M1353",4,2736.33333333333
"357","M1354",4,2592
"358","M1356",4,2649
"359","M1357",4,2853.33333333333
"360","M1358",4,2849.33333333333
"361","M1359",4,2368.66666666667
"362","M1360",4,2438.66666666667
"363","M1361",4,2809.33333333333
"364","B1209",4,2646.66666666667
"365","B1210",4,2873
"366","B1103",4,3049
"367","B1153",4,2856.33333333333
"368","B1005",4,2851
"369","B1104",4,2829.33333333333
"370","B1105",4,2783.33333333333
"371","B1055",4,2693.66666666667
"372","B1106",4,2319.33333333333
"373","B1107",4,2165.33333333333
"374","B1211",4,3093.33333333333
"375","A1264",4,2748
"376","A1265",4,2740
"377","A1316",4,2451
"378","A1269",4,2883.33333333333
"379","A1273",4,2254.33333333333
"380","A1274",4,2471.33333333333
"381","A1275",4,2323.66666666667
"382","A1276",4,2637.33333333333
"383","A1279",4,2338.66666666667
"384","M1367",4,1872.33333333333
"385","B1155",4,2084
"386","B1057",4,2583
"387","B1157",4,2745
"388","B1011",4,1798.66666666667
"389","A1267",4,2085.66666666667
"390","A1272",4,1794.33333333333
"391","A1270",4,2864.66666666667
"392","A1277",4,2714.33333333333
"393","A1321",4,2946
"394","A1317",4,2400.33333333333
"395","A1318",4,2373.33333333333
"396","A1319",4,2644
"397","A1320",4,2103
"398","A1268",4,3036.33333333333
"399","M1362",4,2219
"400","M1363",4,2608.33333333333
"401","M1347",4,2145
"402","M1364",4,1921
"403","M1365",4,2158
"404","M1368",4,2600
"405","M1366",4,2142.66666666667
"406","B1216",4,2407.33333333333
"407","B1007",4,2035.33333333333
"408","B1008",4,2198.33333333333
"409","B1009",4,2047
"410","B1158",4,2963.33333333333
"411","B1159",4,2066.33333333333
"412","B1160",4,2384
"413","B1110",4,3138
"414","B1111",4,2760
"415","B1161",4,2555.33333333333
"416","B1062",4,2534
"417","B1010",4,2385.33333333333
"418","B1217",4,2145.33333333333
"419","B1218",4,2659.33333333333
"420","B1219",4,2545.66666666667
"421","B1220",4,2321
"422","B1058",4,2746.33333333333
"423","B1060",4,2310.33333333333
"424","B1061",4,2088
"425","B1012",4,2601
"426","B1019",4,3098.33333333333
"427","B1075",4,1960.33333333333
"428","A1259",4,2252.33333333333
"429","M1463",5,3082.33333333333
"430","A1257",5,3199
"431","A1258",5,3418.33333333333
"432","A1302",5,2674.33333333333
"433","M1464",5,2952
"434","A1261",5,2952
"435","A1262",5,3153.33333333333
"436","M1467",5,4057
"437","B1053",5,3783.33333333333
"438","A1260",5,3284.33333333333
"439","M1465",5,3358
"440","M1469",5,3129.66666666667
"441","A1304",5,3345.33333333333
"442","M1471",5,3329
"443","A1263",5,2998
"444","B1201",5,2944
"445","B1202",5,2988.66666666667
"446","B1203",5,3062
"447","B1102",5,3594
"448","B1205",5,3241.66666666667
"449","B1151",5,2735.33333333333
"450","B1206",5,3137
"451","B1152",5,3520
"452","B1207",5,3378.33333333333
"453","B1208",5,3193
"454","A1307",5,3262.33333333333
"455","A1309",5,3276.33333333333
"456","A1310",5,3284.66666666667
"457","A1313",5,2742.33333333333
"458","A1314",5,3293.33333333333
"459","A1311",5,3090.66666666667
"460","A1312",5,3148
"461","M1345",5,2903
"462","M1351",5,3138.33333333333
"463","M1353",5,3157.66666666667
"464","M1354",5,3045.66666666667
"465","M1356",5,3345
"466","M1357",5,3466.66666666667
"467","M1358",5,2860.66666666667
"468","M1359",5,2131.66666666667
"469","M1360",5,3380
"470","M1361",5,3775.33333333333
"471","B1209",5,3108.66666666667
"472","B1210",5,2563.33333333333
"473","B1103",5,3232.33333333333
"474","B1153",5,3199.66666666667
"475","B1005",5,3525.66666666667
"476","B1104",5,3899.66666666667
"477","B1105",5,2721
"478","B1055",5,3377.66666666667
"479","B1106",5,3248.66666666667
"480","B1107",5,3465.66666666667
"481","B1211",5,2752.66666666667
"482","A1264",5,3519.33333333333
"483","A1265",5,3342.33333333333
"484","A1316",5,3810.33333333333
"485","A1269",5,3425
"486","A1273",5,3729
"487","A1274",5,3456.66666666667
"488","A1275",5,3122.33333333333
"489","A1276",5,3703
"490","A1279",5,1965.66666666667
"491","M1367",5,2823.33333333333
"492","B1155",5,3106.66666666667
"493","B1057",5,3119
"494","B1157",5,2971.33333333333
"495","B1011",5,2835.33333333333
"496","A1267",5,3341.33333333333
"497","A1272",5,3409.66666666667
"498","A1270",5,3213
"499","A1277",5,3114
"500","A1321",5,3076
"501","A1317",5,3781
"502","A1318",5,3246.66666666667
"503","A1319",5,3923.33333333333
"504","A1320",5,2662
"505","A1268",5,2887.33333333333
"506","M1362",5,3244
"507","M1363",5,2870.33333333333
"508","M1347",5,2979
"509","M1364",5,3144.66666666667
"510","M1365",5,3088
"511","M1368",5,3497.66666666667
"512","M1366",5,2874.33333333333
"513","B1216",5,2637
"514","B1007",5,2997.33333333333
"515","B1008",5,3103.66666666667
"516","B1009",5,3078
"517","B1158",5,2942.66666666667
"518","B1159",5,2501.33333333333
"519","B1160",5,3690
"520","B1110",5,3136
"521","B1111",5,3666.66666666667
"522","B1161",5,3127
"523","B1062",5,3405
"524","B1010",5,3249.33333333333
"525","B1217",5,2858
"526","B1218",5,2903.33333333333
"527","B1219",5,2607.33333333333
"528","B1220",5,2897.66666666667
"529","B1058",5,3288.33333333333
"530","B1060",5,2896.33333333333
"531","B1061",5,3339.33333333333
"532","B1012",5,3411
"533","B1019",5,3585
"534","B1075",5,3152.66666666667
"535","A1259",5,2670.33333333333
"536","M1463",6,2313.33333333333
"537","A1257",6,2442
"538","A1258",6,2587
"539","A1302",6,2368.66666666667
"540","M1464",6,2397.66666666667
"541","A1261",6,2379
"542","A1262",6,2828
"543","M1467",6,2822.66666666667
"544","B1053",6,2558
"545","A1260",6,2598.33333333333
"546","M1465",6,2087
"547","M1469",6,2832.33333333333
"548","A1304",6,2374.33333333333
"549","M1471",6,2346
"550","A1263",6,2621.66666666667
"551","B1201",6,1286.33333333333
"552","B1202",6,1994.66666666667
"553","B1203",6,2078.33333333333
"554","B1102",6,1998.66666666667
"555","B1205",6,1755
"556","B1151",6,2437.33333333333
"557","B1206",6,2572.66666666667
"558","B1152",6,2483
"559","B1207",6,2344.66666666667
"560","B1208",6,2250
"561","A1307",6,2324
"562","A1309",6,2444.66666666667
"563","A1310",6,2369
"564","A1313",6,2111.33333333333
"565","A1314",6,1521.66666666667
"566","A1311",6,2085.66666666667
"567","A1312",6,2249.33333333333
"568","M1345",6,1542.33333333333
"569","M1351",6,2198
"570","M1353",6,2284.66666666667
"571","M1354",6,2381
"572","M1356",6,2415.33333333333
"573","M1357",6,2335
"574","M1358",6,1759.33333333333
"575","M1359",6,1730.33333333333
"576","M1360",6,2653.66666666667
"577","M1361",6,2342.66666666667
"578","B1209",6,1713
"579","B1210",6,2435.66666666667
"580","B1103",6,2168.33333333333
"581","B1153",6,2023.33333333333
"582","B1005",6,2561.66666666667
"583","B1104",6,2819
"584","B1105",6,2435.66666666667
"585","B1055",6,2442.33333333333
"586","B1106",6,2340.33333333333
"587","B1107",6,2389.33333333333
"588","B1211",6,1860
"589","A1264",6,2845
"590","A1265",6,2398.33333333333
"591","A1316",6,2844.66666666667
"592","A1269",6,2241
"593","A1273",6,2403
"594","A1274",6,2866
"595","A1275",6,2924.66666666667
"596","A1276",6,2738.33333333333
"597","A1279",6,2427
"598","M1367",6,2446
"599","B1155",6,2175.66666666667
"600","B1057",6,2355.33333333333
"601","B1157",6,2360.66666666667
"602","B1011",6,2147
"603","A1267",6,2832.33333333333
"604","A1272",6,2804.33333333333
"605","A1270",6,2386.66666666667
"606","A1277",6,2732
"607","A1321",6,1799
