Hybrid_name,Year,GY_Optimal,PH_Optimal,AD_Optimal,GY_Drought,PH_Drought,AD_Drought
852042,2017,6.5746,243.83,64.7718,2.7742,196.07,64.8232
852045,2017,7.3291,237.33,65.9671,3.2487,206.71,63.1101
852046,2017,5.9824,240.96,65.8766,3.464,208.23,64.0541
852047,2017,6.0764,234.78,65.7778,2.6081,192.44,65.0868
852048,2017,7.6296,245.83,67.3354,3.2111,220.2,65.7436
852049,2017,5.9524,248.19,65.5622,2.9281,213.97,63.3641
852050,2017,6.9108,246.32,65.2384,3.6906,222.94,63.2086
852052,2017,5.855,242.34,66.0023,3.2975,214.2,64.1057
852054,2017,5.9885,249.06,67.351,2.3604,217.95,65.4952
852055,2017,6.0724,238.17,64.7394,3.4717,203.49,61.3482
852056,2017,5.5434,244.58,64.7432,3.3821,204.72,64.3881
852057,2017,5.9973,242.87,65.0706,3.3371,217.45,67.2076
852059,2017,7.02,234.86,65.8252,2.7623,210.75,68.1622
852060,2017,5.3545,230.61,66.6858,3.8065,212.37,67.6318
852061,2017,6.3012,237.17,66.0274,2.4371,209.18,65.6859
852062,2017,6.3453,250.52,65.6857,2.7361,228.59,66.7258
852063,2017,6.2096,239.55,65.8603,2.6965,211.48,66.7749
852064,2017,7.0515,248.94,64.6206,3.8692,215.13,67.0751
852065,2017,5.9193,229.61,67.4642,2.7769,214.43,66.932
852066,2017,4.9705,228.14,67.2595,3.0591,205.11,67.9394
852067,2017,6.6906,240.65,67.7819,3.3724,211.38,69.2706
852068,2017,5.9161,239.44,67.7913,3.3744,210.59,66.61
852069,2017,6.1386,228.24,66.7008,2.8038,203.35,67.2406
852070,2017,5.7862,229.54,67.2275,2.5765,208.12,69.6318
852071,2017,5.9314,232.59,64.818,2.8373,208,65.1622
852072,2017,6.6918,232.19,65.6677,3.0289,211.95,66.5877
852073,2017,6.5493,226,65.7481,3.3936,200.2,66.0768
852074,2017,6.6144,242.99,67.888,2.4353,211.31,67.8075
852075,2017,5.9785,227.61,65.7408,2.5407,198,67.1299
852076,2017,5.0993,227.22,62.9138,2.8908,214.88,65.0399
852077,2017,6.182,241.32,67.33,1.9593,206.05,67.0035
852078,2017,5.9124,229.62,67.2662,3.5469,206.08,67.4362
852079,2017,4.4178,231.49,64.0272,1.4887,208.03,66.7439
852080,2017,6.5266,234.25,66.5169,1.6012,204.08,67.9298
852081,2017,5.0657,232.28,63.1233,2.2874,209.49,65.2988
852084,2017,6.2694,227.61,64.8979,2.5951,211.4,66.1641
852085,2017,6.5955,250.22,67.9457,2.4521,227.95,69.2076
852086,2017,5.8239,229.89,65.9483,2.9081,200.62,66.3813
852087,2017,6.6712,221.81,64.127,3.8161,200.84,65.2258
852088,2017,6.8817,231.56,64.6314,3.053,215.32,63.6816
852089,2017,5.7405,238.36,66.2372,2.0507,201.28,65.0593
852090,2017,5.6885,238.57,66.0107,2.8097,210.59,68.2821
852091,2017,6.7428,237.26,68.5955,2.7651,203.65,68.1641
852092,2017,6.471,231.25,66.0824,1.93,209.62,66.8201
852093,2017,5.54,254.79,66.9281,3.5765,226.48,66.2749
852094,2017,6.3151,234.96,66.8542,3.2319,201.08,68.9362
852095,2017,6.2562,235.84,65.7823,2.5306,212.94,66.0525
852096,2017,6.4865,234.7,63.7445,3.1747,202.09,63.7821
852097,2017,5.2901,242.66,68.0372,1.5556,220.9,64.4868
852098,2017,6.6081,234.21,64.1677,3.4296,213.61,65.8855
852099,2017,7.356,240.66,64.4493,2.0869,218.58,65.9362
852100,2017,5.8938,231.97,63.5851,2.1646,215.11,64.3855
852101,2017,5.7211,217.93,64.2602,3.3875,196.87,64.9746
852102,2017,6.4911,234.01,63.4507,2.7181,211.2,64.5115
852103,2017,5.7429,240.98,65.1237,3.3183,219.97,67.4437
852110,2017,5.5108,229.31,63.0231,2.9972,193.88,59.1235
852114,2017,7.209,231.74,63.6158,3.529,192.58,63.7768
852115,2017,5.7912,236.94,67.2301,4.0122,220.65,65.1866
852122,2017,7.854,247.75,65.9663,3.438,194.6,63.6068
852123,2017,5.7478,246.52,62.944,2.2641,204.41,62.1531
852125,2017,5.6762,244.64,64.443,3.6099,199.13,63.2069
852126,2017,6.5426,237.11,67.8644,3.2711,203.68,64.5384
852127,2017,5.7728,237.54,66.4802,3.5243,196.51,62.9644
852128,2017,5.3276,244.6,64.2353,3.5037,218.6,62.3869
852133,2017,6.6189,243.48,62.3532,4.1215,226.58,61.474
852134,2017,5.4663,230.21,63.2656,3.6274,199.43,60.8845
852135,2017,7.5603,242.91,66.3303,4.8315,214.86,62.4385
852138,2017,5.8944,250.64,65.3806,4.0178,218.79,61.7102
852139,2017,7.7651,241.68,65.783,4.5664,208.45,63.7128
852140,2017,5.5521,241.32,65.2482,3.9299,221.01,63.1372
852142,2017,6.6656,239.96,64.6075,3.1559,200.19,61.439
852148,2017,6.4831,238.76,64.6775,2.7903,205.09,61.1347
852153,2017,5.4049,234.42,63.0174,2.8626,199.48,62.7091
852155,2017,5.3657,228.41,64.5106,3.5288,211.05,63.1587
852157,2017,6.5004,247.98,63.4781,3.2144,226.31,60.4709
852158,2017,5.2493,243.97,65.0269,3.0303,216.34,62.1347
852159,2017,7.242,245.98,66.2943,3.2091,199.5,65.0509
852160,2017,5.6609,226.13,64.9565,3.8101,209.99,60.9275
852165,2017,5.8193,241.05,63.7043,3.6034,208.59,61.2565
852166,2017,5.9029,235.25,64.2598,2.5272,225.28,63.4818
852168,2017,5.9637,246.73,64.6477,3.2204,208.58,60.8565
852169,2017,5.331,233.97,62.8065,2.7632,204.81,59.7197
852170,2017,6.3064,252.28,66.4985,4.0952,198.3,65.4837
852171,2017,6.5083,243.67,63.977,3.6341,208.62,64.3685
852173,2017,6.4959,240.89,63.1621,3.6415,218.13,64.1801
852174,2017,5.1222,241.45,64.7149,3.3969,209.63,61.4758
852175,2017,5.4992,243.72,62.5249,4.3,225.24,62.1112
852178,2017,6.2327,239.98,62.6856,3.5715,227.34,61.7521
852179,2017,6.7976,227.58,64.8394,3.3166,195.91,62.5426
852180,2017,5.4466,233.93,63.351,3.0003,215.84,59.6229
852182,2017,5.9895,241.26,66.299,3.0295,211.2,64.3787
852184,2017,5.7598,251.76,63.6799,3.2161,210.98,62.2436
852186,2017,5.6719,239.18,64.7957,2.1141,203.22,60.9593
852188,2017,6.7343,226.89,64.4825,3.2893,200.47,60.8851
852190,2017,6.0437,242.97,64.134,2.4235,192.76,62.6935
852191,2017,6.6847,245.19,65.0078,2.8564,217.45,63.421
852192,2017,6.5818,221.68,65.1962,3.2967,192.23,64.5629
852193,2017,5.9925,241.3,63.004,3.5907,214.67,61.4623
852195,2017,5.7624,238.64,63.9204,1.7944,211.55,63.4797
852198,2017,7.3937,240.34,65.6729,4.4065,215.09,62.3092
852199,2017,5.1023,234.63,63.9519,2.7695,205.31,60.8282
852200,2017,4.8146,230.11,63.9395,4.0709,210.44,61.68
852201,2017,6.0826,240.44,65.4841,4.0079,221.78,62.4568
852202,2017,6.8982,253.04,65.1187,4.6529,224.66,62.0357
852203,2017,5.2157,226.14,65.4003,3.8354,215.26,63.5554
852206,2017,6.9977,241.68,65.4584,2.835,197.2,60.9408
852207,2017,6.0013,244.38,66.9046,4.5756,217.63,62.3536
852209,2017,5.9043,233.35,67.3178,3.9962,203.91,63.47
852213,2017,7.0722,231.5,64.7068,4.2532,201.12,62.8827
852214,2017,6.0903,243.62,64.5579,3.5894,215,61.4527
852215,2017,6.568,261.64,64.6702,2.6541,221.97,62.9593
852216,2017,6.8361,233.49,65.4478,4.1533,209.41,64.1042
852217,2017,6.0538,241.7,62.5149,2.9564,213.45,60.421
852218,2017,6.9087,244.56,63.857,4.3751,216.99,61.4275
852219,2017,5.1911,238.08,61.232,3.4447,207.69,60.4636
852222,2017,6.4223,238.32,64.1464,3.4382,206.23,61.2369
852226,2017,5.9777,244.63,65.593,3.1519,214.86,63.5278
852229,2017,6.33,243.76,65.6712,3.9743,205.24,64.2472
852230,2017,6.3021,251.98,64.4394,4.0021,226.13,63.6151
852232,2017,6.8455,234.9,65.1138,3.3723,190.85,60.892
852237,2017,6.6131,235.86,64.9959,2.7792,207.36,61.2535
852239,2017,7.1013,254.22,65.2909,3.5324,220.11,61.5402
852240,2017,6.9651,247.55,65.7685,3.3659,202.91,64.9137
852242,2017,6.1846,232.55,62.5668,2.7185,207.01,62.1098
852245,2017,5.9362,246.41,63.281,2.6689,204.78,62.926
852246,2017,5.9722,235.51,65.419,4.0743,201.74,64.2472
852247,2017,5.238,250.66,65.3144,3.4719,220.57,61.7564
852248,2017,5.6945,245.3,63.6463,3.0846,196.74,64.1786
852252,2017,4.5775,238.18,63.5027,3.1609,203.06,60.8278
852253,2017,5.9944,240.14,63.9057,4.0127,204.07,61.3564
852254,2017,5.1283,245.99,65.6336,2.757,210.32,63.5191
852256,2017,5.9348,238.95,63.2318,3.2753,218.04,61.9731
852258,2017,5.7223,226.22,64.1526,2.9267,192.09,62.3226
852260,2017,6.2018,243.33,65.2728,3.5291,209.5,61.5509
852262,2017,5.4872,232.15,65.206,2.2305,194.95,61.3193
852263,2017,5.0635,217.49,62.1149,3.3172,187.53,57.9818
852264,2017,4.9817,244.32,62.4502,2.8336,210.31,61.2274
852265,2017,5.6026,239.96,64.5989,3.7236,206,62.5664
852266,2017,5.9752,237.68,63.3581,3.3357,197.58,60.7975
852268,2017,5.5987,242.86,63.0103,2.9812,200.15,62.2997
852269,2017,6.7021,241.27,66.7417,4.6926,219.77,63.5925
852270,2017,5.7798,243.91,65.0802,3.2677,218.65,64.3877
852271,2017,5.0077,226.25,64.2327,3.037,200.64,61.3628
852272,2017,6.1355,238.29,64.0114,3.562,204.84,61.5876
852274,2017,4.6535,228.41,63.5626,3.5806,200.03,61.1858
852275,2017,6.5195,240.63,66.447,2.9291,208.37,66.3685
852278,2017,5.7178,231.21,63.5965,3.9084,212.91,60.0685
852284,2017,5.0182,221.78,67.4469,3.415,214.25,61.9474
852287,2017,5.3502,228.96,65.3858,3.9032,216.32,61.3806
852292,2017,4.5873,220.6,65.1547,3.1884,211.79,60.9203
852296,2017,5.2651,216.53,65.3783,3.5331,211.71,63.799
852297,2017,6.0826,233.69,67.0135,3.5735,213.57,65.8992
852298,2017,5.9498,222.53,66.5391,3.5126,206.24,64.6961
852299,2017,5.0034,220.48,64.5098,4.02,207.62,61.6071
852301,2017,4.9549,228.47,66.7544,4.4801,219.38,61.6027
852303,2017,5.8603,218.81,64.0317,5.0528,206.67,62.9955
852304,2017,6.5466,227.66,66.5691,3.6261,214.13,63.5699
852305,2017,5.0564,244.69,64.0881,3.8427,229.97,64.1388
852306,2017,4.6833,234.56,63.9536,3.215,197.66,62.165
852307,2017,3.9272,226.52,63.3912,3.1413,202.63,59.3211
852314,2017,4.4971,214.14,65.0605,3.3904,206.85,61.7575
852316,2017,4.1531,210.4,64.3153,2.9118,197.03,59.4021
852317,2017,5.3646,228.7,65.0575,4.0497,207.65,62.6784
852320,2017,5.5403,228.47,67.1507,4.071,219.12,64.0709
852322,2017,5.4052,214.9,65.9164,4.3731,196.03,64.8149
852325,2017,6.0956,217.87,65.3191,4.429,222.05,65.5201
852326,2017,5.2222,228.56,65.1788,4.8289,226.74,65.5245
852329,2017,5.5806,233.78,67.1624,3.7282,218.58,66.0195
852331,2017,4.9222,228.88,67.1041,4.3727,223.1,63.3121
852332,2017,5.5066,229.74,65.1347,4.6174,223.63,63.695
852333,2017,4.7714,220.25,66.1935,4.7756,212.75,62.9346
852337,2017,5.4368,246.3,66.4287,4.6349,239.8,64.0834
852338,2017,5.6639,225.97,66.3363,3.6009,211.67,64.9479
852346,2017,4.5511,223.87,65.9896,3.3783,210.1,63.0302
852348,2017,5.0147,226.71,68.1017,4.2865,222.4,63.2354
852349,2017,5.2301,232.67,66.7278,3.2629,229.17,62.7396
852352,2017,4.7217,228.04,64.9783,3.586,209.01,62.0443
852354,2017,4.4333,230.21,66.1807,2.6926,213.47,62.0968
852355,2017,6.2364,230,63.9674,3.1569,222.25,61.6087
852357,2017,5.0653,241.63,66.0811,3.3112,216.48,64.1663
852358,2017,5.5651,228.15,64.3782,4.0376,212.85,63.0247
852359,2017,5.1892,224.09,67.37,3.1663,212.94,64.8983
852360,2017,5.6125,229.56,67.0081,3.5692,222.33,64.8883
852362,2017,5.3721,236.13,66.0267,4.2838,213.92,63.1357
852366,2017,4.9343,221.36,64.9342,3.9206,201.32,62.513
852369,2017,5.7442,247.79,65.2861,3.8222,232.73,63.3129
852372,2017,6.6309,220.16,63.2058,4.1186,215.75,60.9045
852374,2017,6.1779,236.39,65.6114,3.6729,215.5,61.7876
852376,2017,5.797,233.56,64.4327,3.0938,232.67,61.1357
852377,2017,5.6104,235.08,65.5948,4.4884,229.15,65.5683
852381,2017,5.3331,220.24,67.927,3.6554,207.83,65.1019
852382,2017,5.2123,232.59,66.349,4.1342,217.77,63.9595
852384,2017,5.2938,219.92,68.0056,2.9066,213.67,64.3811
852385,2017,5.9233,238.76,64.268,4.1387,225.25,62.1577
852387,2017,6.873,238.26,66.1535,3.3516,218.5,66.5454
852390,2017,4.6555,230.82,64.1824,4.0298,220.75,62.4197
852391,2017,5.125,243.36,66.5582,3.6697,218.45,63.1472
852392,2017,6.2498,229.67,64.9121,3.2374,216.92,64.7258
852393,2017,5.0952,204.26,65.9141,5.1907,210.8,64.3634
852394,2017,4.9223,220.92,66.7736,3.635,212.14,61.8453
852395,2017,5.6082,229.64,64.5164,3.7928,218.17,64.4955
852400,2017,4.7152,222.22,65.2458,4.2639,220.45,61.2556
852402,2017,5.4254,231.78,66.2432,3.1831,210.88,61.1275
852404,2017,5.3957,225.05,65.803,3.8584,214.7,65.1519
852408,2017,5.3834,232.02,67.0265,4.5753,222.62,64.5419
