Line,YR.glass,yield,height,YR.field,FUS,MIL,FT
WSNP92K.047.04418,3.077,7.48,71,3,3,1,31
WSNP92K.047.04419,2.807,8.436,82,1,2,2,31.43553459
WSNP92K.047.04420,3.077,8.294,84,2,2,5,33
WSNP92K.051.04841,2.511079137,9.685,96,1,3,6,30
WSNP92K.047.04422,3.102,7.529,99,3,5,3,36
WSNP92K.047.04423,2.589,6.129,77,3,4,3,34
WSNP92K.047.04424,1.289,7.085,84,2,4,1,30
WSNP92K.047.04425,2.803,8.835,87,4,3,2,23
WSNP92K.047.04426,3.044,7.01,80,4,3,5,31
WSNP92K.047.04427,2.819,7.452,81,5,4,1,28
WSNP92K.047.04428,2.804,8.493,93,3,5,1,25
WSNP92K.047.04429,3.044,8.276,83,4,5,1,27
WSNP92K.047.04430,2.845,6.33,74,2,4,1,30
WSNP92K.047.04431,2.84,7.728,86,4,2,4,32
WSNP92K.047.04432,2.712,7.323,77,5,5,1,34
WSNP92K.047.04433,1.016,4.598,69,1,1,1,40
WSNP92K.047.04434,2.693,5.589,45,2,4,6,38
WSNP92K.051.04842,2.693,5.589,45,2,4,6,38
WSNP92K.047.04435,1.298,6.922,72,5,4,5,27
WSNP92K.047.04436,2.789,7.004,73,5,5,2,31.43553459
WSNP92K.047.04437,2.831,8.295,85,4,1,2,31.43553459
WSNP92K.047.04438,2.511079137,7.476437677,68,4,3,6,32
WSNP92K.047.04439,1.798,7.242,97,3,4,1,35
WSNP92K.051.04843,2.511079137,8.147,60,2,4,1,30
WSNP92K.047.04440,2.582,7.282,89,2,2,4,38
WSNP92K.047.04441,2.997,8.032,84,3,5,5,27
WSNP92K.047.04443,2.823,7.728,102,3,3,1,31.43553459
WSNP92K.051.04844,2.813,7.073,99,3,4,1,28
WSNP92K.051.04845,2.337,7.287,98,1,3,4,29
WSNP92K.047.04444,2.834,8.631,83,2,4,1,30
WSNP92K.047.04445,2.354,8.414,75,1,2,1,27
WSNP92K.047.04446,2.741,9.07,71,3,4,4,32
WSNP92K.051.04846,2.511079137,6.092,102,4,2,1,29
WSNP92K.047.04447,2.511079137,8.683,77,5,4,6,30
WSNP92K.051.04847,2.511079137,8.933,82,3,3,3,22
WSNP92K.047.04448,2.157,8.208,51,1,5,1,24
WSNP92K.047.04449,2.693,8.965,51,2,4,1,24
WSNP92K.047.04450,2.202,8.269,61,3,6,1,11
WSNP92K.047.04451,1.804,7.776,72,1,5,4,14
WSNP92K.047.04452,1.789,7.868,82,1,5,1,38
WSNP92K.047.04453,3.041,7.672,62,4,6,4,14
WSNP92K.047.04454,2.915,7.367,72,3,4,5,37
WSNP92K.047.04455,3.041,8.371,71,2,5,2,34
WSNP92K.047.04456,3.155,7.471,82,3,4,4,36
WSNP92K.051.04848,2.511079137,9.039,62,2,4,1,30
WSNP92K.047.04457,1.597,7.503,80,2,2,1,32
WSNP92K.047.04458,2.996,5.046,93,3,3,1,30
WSNP92K.047.04459,2.851,6.781,73,3,4,2,30
WSNP92K.047.04460,2.589,6.318,68,3,6,5,36
WSNP92K.047.04461,1.609,8.674,76,2,3,3,28
WSNP92K.051.04849,2.8,7.476437677,60,2,4,1,15
WSNP92K.047.04462,2.812,5.761,78,2,3,1,28
WSNP92K.047.04463,2.465,7.82,86,3,4,3,28
WSNP92K.047.04464,3.096,7.24,78,3,3,1,27
WSNP92K.047.04465,1.804,8.261,85,2,4,1,30
WSNP92K.047.04466,3.166,7.337,88,4,5,4,35
WSNP92K.047.04467,3.003,7.181,80,2,5,2,33
WSNP92K.051.04850,2.901,8.32,72,2,5,5,27
WSNP92K.047.04468,1.004,7.647,88,2,5,2,31
WSNP92K.047.04469,2.707,5.612,91,2,7,3,37
WSNP92K.047.04470,3.081,8.228,91,3,4,5,36
WSNP92K.047.04471,2.9,7.715,95,2,4,1,31
WSNP92K.051.04851,2.032,6.808,88,2,3,1,38
WSNP92K.047.04472,2.948,8.63,64,3,5,3,27
WSNP92K.047.04473,3.071,7.986,90,3,3,3,28
WSNP92K.047.04474,1.793,6.226,82,2,3,2,40
WSNP92K.047.04475,2.904,6.922,75,2,4,4,35
WSNP92K.051.04852,2.916,6.542,74,1,5,3,38
WSNP92K.047.04476,2.807,8.51,86,3,6,1,25
